ligand,class,prep,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ,rtm_3RCD,heavy_atoms,MW,cLogP,TPSA,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z
EH120_056,A_only,rdkit_meeko,7.8785,7.795,72.9381877271805,67.01967219669464,67.01967219669464,78.85670325766637,35.0,607.2730000000003,5.776400000000004,111.83,1.3060319565542955,0.9354191192972359,0.9354191192972359
EH120_057,A_only,rdkit_meeko,7.8095,7.557,52.72555355336244,39.89707178920726,39.89707178920726,65.55403531751762,20.0,330.189,3.572600000000002,62.730000000000004,-0.3272080815774645,0.3426494781325408,-0.3272080815774645
EH120_058,A_only,rdkit_meeko,9.726500000000001,9.275,40.96045158386896,39.951085959547946,41.969817208189966,39.951085959547946,34.0,489.91000000000037,4.298600000000003,88.61000000000001,-0.20239369223881493,-0.7982232529590114,-0.7982232529590114
EH120_059,A_only,rdkit_meeko,9.11,8.645,26.674335498726016,23.154232264384184,30.194438733067845,23.154232264384184,29.0,413.7960000000001,3.8401200000000006,120.0,-0.9114709673077359,-1.546694535740409,-1.546694535740409
EH120_060,A_only,rdkit_meeko,9.094000000000001,9.015,28.417481820703138,20.53332877928516,20.53332877928516,36.30163486212111,30.0,475.3620000000003,4.426100000000003,62.74,-1.4932334588185159,-0.9608435504213577,-1.4932334588185159
EH120_061,A_only,rdkit_meeko,10.9065,10.876,92.52151656632665,88.28872172371186,88.28872172371186,96.75431140894143,39.0,591.0360000000002,7.9379000000000035,93.21000000000001,2.5867890645984923,1.732940248838338,1.732940248838338
EH120_062,A_only,rdkit_meeko,11.256499999999999,11.098,82.28398800196891,64.84547318357795,64.84547318357795,99.72250282035986,41.0,596.0339999999999,8.850299999999999,88.17,1.1751083420874295,1.8652034734614553,1.1751083420874295
EH120_063,A_only,rdkit_meeko,9.695,9.575,41.10096566288641,34.57311242978854,47.628818895984274,34.57311242978854,33.0,516.8370000000002,8.135900000000001,56.269999999999996,0.1383740805227309,-1.037866868342909,-1.037866868342909
EH120_064,A_only,rdkit_meeko,7.9830000000000005,7.819,50.098548148920045,43.492432295087006,43.492432295087006,56.70466400275309,25.0,343.3580000000001,3.277000000000002,65.50000000000001,-0.11070646884495412,-0.05168034220028602,-0.11070646884495412
EH120_065,A_only,rdkit_meeko,8.681999999999999,8.591,36.81412499524427,23.13006072894036,23.13006072894036,50.49818926154818,25.0,393.244,4.737080000000002,77.81,-1.3368662032915704,-0.3282421433212604,-1.3368662032915704
EH120_066,A_only,rdkit_meeko,8.585,8.522,25.397658508076923,24.887849144328424,24.887849144328424,25.907467871825418,36.0,530.4560000000004,5.190380000000005,82.88,-1.2310175613677141,-1.4240097863046086,-1.4240097863046086
EH120_067,A_only,rdkit_meeko,8.65,8.423,35.37309389706164,31.491971613771565,39.254216180351726,31.491971613771565,22.0,294.31,2.32118,93.35,-0.3659188800756271,-1.1751631418502708,-1.1751631418502708
EH120_068,A_only,rdkit_meeko,9.1645,8.977,93.16065675752873,77.73176210127663,77.73176210127663,108.58955141378084,44.0,684.9199999999998,7.293500000000005,128.90000000000003,1.9510812461275988,2.2603209969958575,1.9510812461275988
EH120_069,A_only,rdkit_meeko,8.942499999999999,8.872,42.73887319458013,34.12995943128004,34.12995943128004,51.34778695788022,29.0,450.34000000000003,4.668880000000003,81.05000000000001,-0.6744859482222494,-0.29038389384416613,-0.6744859482222494
