ligand,target,vina_mode,rtmscore
EH40_18,3RCD,7,29.15304223423793
EH40_38,3RCD,4,29.0341420949418
EH40_07,3RCD,7,29.004510104626075
EH40_31,3RCD,9,28.979425353200664
EH40_21,3RCD,9,28.94886126810096
EH40_22,3RCD,9,28.69428681488097
EH40_34,3RCD,5,28.58871235586158
EH40_34,3RCD,7,28.364926944161528
EH40_36,3RCD,8,28.31299110016214
EH40_28,3RCD,3,27.98525528344706
EH40_09,3RCD,8,27.67936306881317
EH40_23,3RCD,6,27.35675734906152
EH40_28,3RCD,9,27.28885485460297
EH40_24,3RCD,3,27.256961711606813
EH40_17,3RCD,7,26.86459146796185
EH40_12,3RCD,4,26.6402307203608
EH40_39,3RCD,1,26.60141454944595
EH40_36,3RCD,6,26.54268017806965
EH40_21,3RCD,4,26.49391838683583
EH40_31,3RCD,7,26.421178100203004
EH40_37,3RCD,3,26.265319243412726
EH40_19,3RCD,5,26.11850831952917
EH40_04,3RCD,8,26.027321183222647
EH40_37,3RCD,4,25.637118559626582
EH40_38,3RCD,3,25.56233125821499
EH40_35,3RCD,6,25.51137342749123
EH40_20,3RCD,2,25.399858792630507
EH40_10,3RCD,2,25.243200971852986
EH40_35,3RCD,3,25.114486203312534
EH40_20,3RCD,5,25.098851450986583
EH40_36,3RCD,9,25.017612115318755
EH40_26,3RCD,4,24.921390328631635
EH40_26,3RCD,7,24.871811551642164
EH40_11,3RCD,9,24.862160844324247
EH40_04,3RCD,5,24.75242188635181
EH40_13,3RCD,3,24.68922772467297
EH40_13,3RCD,5,24.63084518327016
EH40_21,3RCD,1,24.62379897565085
EH40_17,3RCD,2,24.45135490819053
EH40_16,3RCD,6,24.284132022300582
EH40_34,3RCD,9,24.25003810015149
EH40_11,3RCD,6,24.24043432361627
EH40_03,3RCD,9,24.23259732498766
EH40_32,3RCD,8,24.116567360555287
EH40_19,3RCD,4,24.11579179695572
EH40_38,3RCD,7,23.945476113123156
EH40_03,3RCD,3,23.91577574963355
EH40_39,3RCD,5,23.910485040627265
EH40_15,3RCD,3,23.88816202585557
EH40_11,3RCD,7,23.87799936914582
EH40_17,3RCD,9,23.786782760071336
EH40_17,3RCD,5,23.61953802775681
EH40_09,3RCD,9,23.6125584568374
EH40_34,3RCD,6,23.55631983265462
EH40_26,3RCD,6,23.51118613227809
EH40_19,3RCD,6,23.387182219102456
EH40_01,3RCD,7,23.32919847397222
EH40_30,3RCD,1,23.32384981029232
EH40_20,3RCD,7,23.27189785485861
EH40_20,3RCD,8,23.03637306731593
EH40_08,3RCD,9,22.924511512274723
EH40_05,3RCD,4,22.88007169250343
EH40_14,3RCD,8,22.870623764419623
EH40_07,3RCD,8,22.835828619431904
EH40_36,3RCD,5,22.752577782856783
EH40_37,3RCD,6,22.632431880525413
EH40_21,3RCD,6,22.528841396139526
EH40_39,3RCD,4,22.49797943521039
EH40_14,3RCD,2,22.451258402645514
EH40_34,3RCD,2,22.351400148543696
EH40_28,3RCD,4,22.26968756580937
EH40_12,3RCD,3,22.222756453628055
EH40_28,3RCD,6,22.172906618623188
EH40_30,3RCD,3,22.115078557017267
EH40_38,3RCD,1,22.107995753967028
EH40_14,3RCD,6,21.990022947392347
EH40_40,3RCD,9,21.977539486746316
EH40_11,3RCD,4,21.92842187075633
EH40_38,3RCD,6,21.605994148542838
EH40_07,3RCD,1,21.57023578179304
EH40_35,3RCD,5,21.565970431753435
EH40_40,3RCD,4,21.460878306623908
