molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold,source_target,source_chembl_id
CHEMBL6150561,,Cc1ccccc1NC(=O)C(C)n1nc(C(=O)Nc2ccccc2)c2ccccc21,4.29,1,O=C(Cn1nc(C(=O)Nc2ccccc2)c2ccccc21)Nc1ccccc1,OCT2,CHEMBL1743122
CHEMBL85,RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,4.96,1,O=c1c(CCN2CCC(c3noc4ccccc34)CC2)cnc2n1CCCC2,OCT2,CHEMBL1743122
CHEMBL46,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,5.91,2,O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,OCT2,CHEMBL1743122
CHEMBL48361,DABIGATRAN,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,5.33,1,O=C(Nc1ccccn1)c1ccc2[nH]c(CNc3ccccc3)nc2c1,OCT2,CHEMBL1743122
CHEMBL360861,NIFEKALANT,Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,4.99,1,O=c1cc(NCCNCCCc2ccccc2)[nH]c(=O)[nH]1,OCT2,CHEMBL1743122
CHEMBL170988,PHENFORMIN,N=C(N)NC(=N)NCCc1ccccc1,4.19,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL1160763,,N=C(N)Nc1ccc(Br)cc1,4.95,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL272259,,N=C(N)Nc1ccc(Cc2ccccc2)cc1,4.02,1,c1ccc(Cc2ccccc2)cc1,OCT2,CHEMBL1743122
CHEMBL41040,,N=C(N)Nc1ccc(Cl)cc1,4.72,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL1160766,,N=C(N)Nc1ccc(F)cc1,4.32,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL13823,,N=C(N)Nc1cccc(Cl)c1,4.22,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL14047,PHENYLGUANIDINE,N=C(N)Nc1ccccc1,4.05,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL55,PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,5.92,1,c1ccc(OCCCCCOc2ccccc2)cc1,OCT2,CHEMBL1743122
CHEMBL790,CHLORHEXIDINE,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,6.4,1,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccccc1)NC(=N)Nc1ccccc1,OCT2,CHEMBL1743122
CHEMBL4100146,,NC(N)=Nc1ccc(I)cc1,5.36,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL902,FAMOTIDINE,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,4.44,1,c1cscn1,OCT2,CHEMBL1743122
CHEMBL660,AMANTADINE,NC12CC3CC(CC(C3)C1)C2,4.49,2,C1C2CC3CC1CC(C2)C3,OCT2,CHEMBL1743122
CHEMBL1106,EPINASTINE,NC1=NCC2c3ccccc3Cc3ccccc3N12,5.37,1,C1=NCC2c3ccccc3Cc3ccccc3N12,OCT2,CHEMBL1743122
CHEMBL95,TACRINE,Nc1c2c(nc3ccccc13)CCCC2,6.17,1,c1ccc2nc3c(cc2c1)CCCC3,OCT2,CHEMBL1743122
