pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file
F2/F10,main,summary_min,"min(D/A,D/B)",weaker directional arm,31,32,,0.34475806451612906,0.34475806451612906,0.21092375366568913,0.4773048467127413,2000,2000,F2F10_065;F2F10_066;F2F10_067;F2F10_068;F2F10_069;F2F10_070;F2F10_071;F2F10_072;F2F10_073;F2F10_074;F2F10_075;F2F10_076;F2F10_077;F2F10_078;F2F10_079;F2F10_081;F2F10_082;F2F10_083;F2F10_084;F2F10_085;F2F10_086;F2F10_087;F2F10_088;F2F10_089;F2F10_090;F2F10_091;F2F10_092;F2F10_093;F2F10_094;F2F10_095;F2F10_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
F2/F10,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,31,32,12,0.1633064516129032,,-0.0037550403225806114,0.33266969086021503,,,,independent boot_delta shared dual draw
F2/F10,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,31,32,12,0.11491935483870963,,,,,,,independent boot_delta shared dual draw
F2/F10,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,31,12,,0.5188172043010753,0.519,,,,,,independent complete-case vina_mean
F2/F10,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,31,64,,0.38382056451612906,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint
F2/F10,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,31,64,,0.1349966397849462,,,,,,,secondary diagnostic
F2/F10,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,31,64,,-0.030745967741935443,,-0.11513386138285157,0.04605732027881146,,,,independent paired ligand resample
PPARG/PPARA,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,32,31,,0.6491935483870968,0.6491935483870968,0.5073547505126452,0.7784834386558525,2000,2000,PGPA_065;PGPA_066;PGPA_067;PGPA_068;PGPA_069;PGPA_070;PGPA_071;PGPA_072;PGPA_073;PGPA_074;PGPA_075;PGPA_076;PGPA_077;PGPA_078;PGPA_079;PGPA_080;PGPA_081;PGPA_082;PGPA_083;PGPA_084;PGPA_085;PGPA_086;PGPA_087;PGPA_088;PGPA_089;PGPA_090;PGPA_091;PGPA_092;PGPA_093;PGPA_094;PGPA_095;PGPA_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PPARG/PPARA,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,32,32,,0.7060546875,0.7060546875,0.568578431372549,0.8333436724565757,2000,2000,PGPA_065;PGPA_066;PGPA_067;PGPA_068;PGPA_069;PGPA_070;PGPA_071;PGPA_072;PGPA_073;PGPA_074;PGPA_075;PGPA_076;PGPA_077;PGPA_078;PGPA_079;PGPA_080;PGPA_081;PGPA_082;PGPA_083;PGPA_084;PGPA_085;PGPA_086;PGPA_087;PGPA_088;PGPA_089;PGPA_090;PGPA_091;PGPA_092;PGPA_093;PGPA_094;PGPA_095;PGPA_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PPARG/PPARA,main,summary_min,"min(D/A,D/B)",weaker directional arm,32,31,,0.6491935483870968,0.6491935483870968,0.504459330558446,0.750837597330367,2000,2000,PGPA_065;PGPA_066;PGPA_067;PGPA_068;PGPA_069;PGPA_070;PGPA_071;PGPA_072;PGPA_073;PGPA_074;PGPA_075;PGPA_076;PGPA_077;PGPA_078;PGPA_079;PGPA_080;PGPA_081;PGPA_082;PGPA_083;PGPA_084;PGPA_085;PGPA_086;PGPA_087;PGPA_088;PGPA_089;PGPA_090;PGPA_091;PGPA_092;PGPA_093;PGPA_094;PGPA_095;PGPA_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PPARG/PPARA,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,32,32,14,0.0528738839285714,,-0.1319963727678571,0.2346644810267857,,,,independent boot_delta shared dual draw
PPARG/PPARA,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,32,31,14,-0.005220334101382451,,,,,,,independent boot_delta shared dual draw
PPARG/PPARA,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,32,14,,0.6852678571428571,0.685,,,,,,independent complete-case vina_mean
