canonical_smiles,name,chembl_id,in_production_1588,q_ge_0.5_top1,q_ge_0.5_top3,q_ge_0.5_top5
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,ALOGLIPTIN,CHEMBL376359,True,True,True,True
O=C(Nc1nc(-c2ccc(O)c(O)c2)c(-c2ccccc2)s1)c1ccc(O)c(O)c1,COH-29,CHEMBL4297421,True,True,True,True
O=C(CNC(=O)c1ccc(C2=NO[C@@](c3cc(Cl)c(F)c(C(F)(F)F)c3)(C(F)(F)F)C2)c2ccccc12)NCC(F)(F)F,UMIFOXOLANER,CHEMBL4594384,True,True,True,True
Cc1cc(F)ccc1-c1nc(NC(CO)CO)nc2c1ccc(=O)n2-c1c(F)cccc1F,DILMAPIMOD,CHEMBL2103838,True,True,True,True
Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1,TEGOBUVIR,CHEMBL1957287,True,True,True,True
CC1=C[C@H]2C(=O)O[C@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@H]([C@@H]1O)[C@@]42O)O[C@]1(C3)C[C@H](O)[C@H](C)[C@@H](/C(C)=C/C(C)C)O1,NEMADECTIN,CHEMBL2103942,True,True,True,True
CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc2nc(N)sc12,AZD-8797,CHEMBL2349310,True,True,True,True
C/C1=C/C[C@@H](/C(C)=C/c2cc(C)on2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)/C=C\C1,KOSN-1724,CHEMBL4297393,True,True,True,True
CC(C)[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1cccc(-c2ccc(NC(=O)/C=C/CN3CCOCC3)nc2)c1,TACACICLIB,CHEMBL5314541,True,True,True,True
CC(C)OC(=O)Nc1ccc(-c2cnc([C@H]3CC[C@H](NC(=O)OC(C)C)CC3)s2)c(S(=O)(=O)NC(C)(C)C)c1,EMZADIRIB,CHEMBL5314629,True,True,True,True
CC(C)NC(=O)c1ccc2c(c1)[C@]1(CCO2)C[C@H]1C(=O)Nc1cc(C#N)ccc1CCCC(=O)O,BMS-986310,CHEMBL5314911,True,True,True,True
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,CLOSANTEL,CHEMBL12131,True,True,True,True
O=C(O)C1C/C(=C2/CCN(c3ccccc3)C2=O)c2ccc(Cl)cc2N1,GW468816,CHEMBL1207366,True,True,True,True
