target,ligand,mode,status,cnn_score,cnn_affinity,reason
4UDW,F2F10_037,mode_02,success,0.0755642503,7.2270717621,
4UDW,F2F10_037,mode_04,success,0.1367252916,7.5687632561,
4UDW,F2F10_037,mode_05,success,0.3686489165,7.3612275124,
4UDW,F2F10_037,mode_09,success,0.2784419954,7.6377906799,
4UDW,F2F10_037,mode_08,success,0.1907038689,7.0513033867,
4UDW,F2F10_037,mode_07,success,0.5531910062,7.3825860023,
4UDW,F2F10_037,mode_06,success,0.5633073449,7.646648407,
4UDW,F2F10_038,mode_03,success,0.1285984218,6.8282871246,
4UDW,F2F10_038,mode_02,success,0.4612667561,7.7432351112,
4UDW,F2F10_038,mode_06,success,0.3060680628,7.0663962364,
4UDW,F2F10_038,mode_01,success,0.6802053452,7.9123892784,
4UDW,F2F10_038,mode_05,success,0.2174558192,7.0384383202,
4UDW,F2F10_038,mode_04,success,0.5483673215,7.7223935127,
4UDW,F2F10_039,mode_01,success,0.8310878277,7.9770407677,
4UDW,F2F10_038,mode_07,success,0.0676631331,6.5986809731,
4UDW,F2F10_038,mode_08,success,0.0431079827,6.6837921143,
4UDW,F2F10_039,mode_02,success,0.3885248005,7.2436981201,
4UDW,F2F10_038,mode_09,success,0.0653994009,6.2854628563,
4UDW,F2F10_039,mode_03,success,0.5180547833,7.3081870079,
4UDW,F2F10_039,mode_04,success,0.1528160125,6.7892127037,
4UDW,F2F10_039,mode_07,success,0.1327335835,5.5920128822,
4UDW,F2F10_039,mode_08,success,0.148589164,6.3274035454,
4UDW,F2F10_039,mode_05,success,0.1205770895,5.9691486359,
4UDW,F2F10_039,mode_06,success,0.1632364094,6.8349761963,
4UDW,F2F10_039,mode_09,success,0.0377587825,5.8228340149,
4UDW,F2F10_040,mode_04,success,0.078872852,6.5406794548,
4UDW,F2F10_040,mode_05,success,0.1596250087,6.6366519928,
4UDW,F2F10_040,mode_06,success,0.0461280495,5.962085247,
4UDW,F2F10_040,mode_03,success,0.05203861,5.8043227196,
4UDW,F2F10_040,mode_01,success,0.2085539103,6.8562159538,
4UDW,F2F10_040,mode_02,success,0.3523370028,7.097890377,
4UDW,F2F10_041,mode_01,success,0.0941270962,7.1913571358,
4UDW,F2F10_040,mode_07,success,0.0475642309,4.7137322426,
4UDW,F2F10_040,mode_08,success,0.1669413447,6.5243854523,
4UDW,F2F10_040,mode_09,success,0.0508211963,5.5222992897,
4UDW,F2F10_041,mode_02,success,0.4707303643,7.9485015869,
4UDW,F2F10_041,mode_03,success,0.2459846884,7.8575820923,
4UDW,F2F10_041,mode_05,success,0.1986949891,7.592924118,
4UDW,F2F10_041,mode_09,success,0.0905009732,6.9573502541,
4UDW,F2F10_041,mode_04,success,0.1665552557,7.3885416985,
4UDW,F2F10_041,mode_07,success,0.0279479939,6.0154948235,
4UDW,F2F10_041,mode_06,success,0.0180760361,5.6069507599,
4UDW,F2F10_041,mode_08,success,0.1109376997,6.6418147087,
4UDW,F2F10_042,mode_01,success,0.4556814432,6.8776264191,
4UDW,F2F10_042,mode_05,success,0.6059551239,6.9623675346,
4UDW,F2F10_042,mode_06,success,0.6145946383,7.0070304871,
4UDW,F2F10_042,mode_03,success,0.6566212177,7.0738539696,
4UDW,F2F10_042,mode_02,success,0.4813342392,6.8638348579,
4UDW,F2F10_042,mode_04,success,0.6640360951,7.0744585991,
4UDW,F2F10_043,mode_01,success,0.1720811129,7.0432624817,
4UDW,F2F10_042,mode_09,success,0.204305619,6.240087986,
4UDW,F2F10_043,mode_02,success,0.1799906641,7.4040603638,
4UDW,F2F10_042,mode_07,success,0.2305085361,6.671022892,
4UDW,F2F10_043,mode_03,success,0.1419667751,6.8950867653,
4UDW,F2F10_042,mode_08,success,0.8408154845,7.5514903069,
4UDW,F2F10_043,mode_05,success,0.1596878171,7.5542545319,
4UDW,F2F10_044,mode_03,success,0.0192773361,6.5252947807,
4UDW,F2F10_044,mode_01,success,0.0214931946,6.6722736359,
4UDW,F2F10_043,mode_04,success,0.1402586102,7.0146756172,
4UDW,F2F10_044,mode_02,success,0.0658389926,6.9250016212,
