pair_hint,target,ligand,cnn_score,cnn_affinity
JAK1/JAK2,8BXH,J1J2_026,0.5886733532,8.2700309753
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_027,0.9066810012,8.6726350784
JAK1/JAK2,8BXH,J1J2_027,0.4786967933,8.0824956894
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_028,0.2915750742,7.771876812
JAK1/JAK2,8BXH,J1J2_028,0.5260906219,8.3232545853
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_029,0.3427971601,7.8449778557
JAK1/JAK2,8BXH,J1J2_029,0.6297584176,8.3014326096
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_030,0.9446441531,7.2307476997
JAK1/JAK2,8BXH,J1J2_030,0.7334888577,6.939851284
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_031,0.8597242832,8.6509628296
JAK1/JAK2,8BXH,J1J2_031,0.7767671943,8.4803495407
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_032,0.1515867412,5.3509488106
JAK1/JAK2,8BXH,J1J2_032,0.2088630795,6.9767990112
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_033,0.2597781122,5.8415126801
JAK1/JAK2,8BXH,J1J2_033,0.3168596327,6.6642131805
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_034,0.4772385955,6.3537693024
JAK1/JAK2,8BXH,J1J2_034,0.6635121107,7.056166172
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_035,0.8607593179,7.1877913475
JAK1/JAK2,8BXH,J1J2_035,0.9641942382,7.6571240425
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_036,0.9459059834,7.8497104645
JAK1/JAK2,8BXH,J1J2_036,0.643984735,7.4112524986
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_037,0.2422911525,6.2658691406
JAK1/JAK2,8BXH,J1J2_037,0.9474983811,8.0284032822
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_038,0.2472638935,6.3144187927
JAK1/JAK2,8BXH,J1J2_038,0.9348785877,8.0438156128
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_039,0.3057659864,6.8318686485
JAK1/JAK2,8BXH,J1J2_039,0.1575314552,6.5690407753
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_040,0.6691995263,6.6760230064
JAK1/JAK2,8BXH,J1J2_040,0.3334260881,6.489636898
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_041,0.1923678666,6.1613249779
JAK1/JAK2,8BXH,J1J2_041,0.952267468,8.0226392746
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_042,0.5353119373,7.4559288025
JAK1/JAK2,8BXH,J1J2_042,0.3421338499,7.2286515236
