pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
PPARG/PPARA,dual_vs_A_only,32,31,0.70,class_stratified_shared_dual,20260729,1000,2000,0.796,0.012743,0.697525
PPARG/PPARA,dual_vs_B_only,32,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.832,0.0118227,0.702764
PPARG/PPARA,dual_vs_neither,32,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.616,0.01538,0.698277
PPARG/PPARA,summary_min,32,31/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.635,0.0152242,0.662721
PPARG/PPARA,dual_vs_A_only,32,31,0.75,class_stratified_shared_dual,20260729,1000,2000,0.963,0.00596917,0.752893
PPARG/PPARA,dual_vs_B_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.958,0.00634319,0.750528
PPARG/PPARA,dual_vs_neither,32,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.824,0.0120426,0.751451
PPARG/PPARA,summary_min,32,31/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.904,0.00931579,0.715271
PPARA/PPARD,dual_vs_A_only,32,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.052,0.00702111,0.50087
PPARA/PPARD,dual_vs_B_only,32,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.051,0.00695694,0.499699
PPARA/PPARD,dual_vs_neither,32,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.046,0.0066245,0.502645
PPARA/PPARD,summary_min,32,32/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.121,0.010313,0.459703
PPARA/PPARD,dual_vs_A_only,32,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.124,0.0104223,0.553447
PPARA/PPARD,dual_vs_B_only,32,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.097,0.00935901,0.547498
PPARA/PPARD,dual_vs_neither,32,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.102,0.00957058,0.548507
PPARA/PPARD,summary_min,32,32/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.028,0.0052169,0.507569
PPARA/PPARD,dual_vs_A_only,32,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.317,0.0147143,0.604602
PPARA/PPARD,dual_vs_B_only,32,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.278,0.0141674,0.601166
PPARA/PPARD,dual_vs_neither,32,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.198,0.0126014,0.59994
PPARA/PPARD,summary_min,32,32/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.059,0.00745111,0.556071
PPARA/PPARD,dual_vs_A_only,32,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.538,0.0157657,0.64501
PPARA/PPARD,dual_vs_B_only,32,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.61,0.015424,0.654583
PPARA/PPARD,dual_vs_neither,32,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.359,0.0151697,0.644413
PPARA/PPARD,summary_min,32,32/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.26,0.0138708,0.608846
PPARA/PPARD,dual_vs_A_only,32,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.809,0.0124306,0.700013
PPARA/PPARD,dual_vs_B_only,32,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.809,0.0124306,0.700067
PPARA/PPARD,dual_vs_neither,32,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.615,0.0153875,0.700366
PPARA/PPARD,summary_min,32,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.675,0.0148113,0.665914
PPARA/PPARD,dual_vs_A_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.951,0.00682635,0.749092
PPARA/PPARD,dual_vs_B_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.948,0.00702111,0.748533
PPARA/PPARD,dual_vs_neither,32,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.819,0.0121753,0.74846
PPARA/PPARD,summary_min,32,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.924,0.00837998,0.717036
