target_chembl,uniprot,gene_symbol,pref_name,protein_class,n_mols,metal_enzyme_risk
CHEMBL3308912,Q9HCN6,GP6,Platelet glycoprotein VI,Adhesion,20,0
CHEMBL3392950,Q9Y294,ASF1A,Histone chaperone ASF1A,Other nuclear protein,20,0
CHEMBL3542436,Q16696,CYP2A13,Cytochrome P450 2A13,Cytochrome P450 family 2A,20,0
CHEMBL3714583,Q08722,CD47,Leukocyte surface antigen CD47,Adhesion,20,0
CHEMBL4105730,Q9UI32,GLS2,"Glutaminase liver isoform, mitochondrial",Hydrolase,20,0
CHEMBL4523223,P40879,SLC26A3,Chloride anion exchanger,SLC26 family of anion exchangers,20,0
CHEMBL4739707,Q9UKT9,IKZF3,Zinc finger protein Aiolos,Transcription factor,20,0
CHEMBL5291590,Q96RQ9,IL4I1,L-amino-acid oxidase,Oxidoreductase,20,0
CHEMBL4551,P35030,PRSS3,Trypsin-3,Serine protease S1A subfamily,19,0
CHEMBL2437,P35813,PPM1A,Protein phosphatase 1A,Serine/threonine protein phosphatase,19,0
CHEMBL3030,P02452,COL1A1,Collagen alpha-1(I) chain,Structural protein,19,0
CHEMBL2457,O15296,ALOX15B,Polyunsaturated fatty acid lipoxygenase ALOX15B,Oxidoreductase,19,0
CHEMBL1847,P28472,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3,GABA-A receptor,19,0
CHEMBL4446,Q9Y5K2,KLK4,Kallikrein-4,Serine protease S1A subfamily,19,0
CHEMBL2282,P35575,G6PC1,Glucose-6-phosphatase catalytic subunit 1,Phosphatase,19,0
CHEMBL3111,Q9UBS0,RPS6KB2,Ribosomal protein S6 kinase beta-2,AGC protein kinase p70 subfamily,19,0
CHEMBL5388,Q9UKI8,TLK1,Serine/threonine-protein kinase tousled-like 1,Other protein kinase TLK family,19,0
CHEMBL5044,Q6P3R8,NEK5,Serine/threonine-protein kinase Nek5,Other protein kinase NEK family,19,0
CHEMBL5520,Q8N752,CSNK1A1L,Casein kinase I isoform alpha-like,CK1 protein kinase CK1-a,19,0
CHEMBL5654,Q8WXR4,MYO3B,Myosin-IIIb,STE protein kinase NinaC subfamily,19,0
CHEMBL5968,Q99677,LPAR4,Lysophosphatidic acid receptor 4,EDG receptor,19,0
CHEMBL1075173,Q9H4A3,WNK1,Serine/threonine-protein kinase WNK1,Other protein kinase Wnk family,19,0
CHEMBL1795165,P57058,HUNK,Hormonally up-regulated neu tumor-associated kinase,CAMK protein kinase group,19,0
CHEMBL1909488,Q9ULW8,PADI3,Protein-arginine deiminase type-3,Hydrolase,19,0
CHEMBL2150844,Q99707,MTR,Methionine synthase,Transferase,19,0
CHEMBL2157852,Q9UK80,USP21,Ubiquitin carboxyl-terminal hydrolase 21,Enzyme,19,0
CHEMBL2176858,Q9H2X3,CLEC4M,C-type lectin domain family 4 member M,Membrane receptor,19,0
CHEMBL2321646,Q15047,SETDB1,Histone-lysine N-methyltransferase SETDB1,SET domain,19,0
CHEMBL2429709,Q9H0J9,PARP12,Protein mono-ADP-ribosyltransferase PARP12,Transferase,19,0
CHEMBL3217398,O43826,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,SLC37 family of phosphosugar/phosphate exchangers,19,0
CHEMBL3000,Q9UNI1,CELA1,Chymotrypsin-like elastase family member 1,Serine protease S1A subfamily,18,0
CHEMBL3255,P18846,ATF1,Cyclic AMP-dependent transcription factor ATF-1,Transcription factor,18,0
CHEMBL1964,Q9UK17,KCND3,A-type voltage-gated potassium channel KCND3,Voltage-gated potassium channel,18,0
CHEMBL3285,P00326,ADH1C,Alcohol dehydrogenase 1C,Oxidoreductase,18,0
CHEMBL5095,P0C1S8,WEE2,Wee1-like protein kinase 2,Other protein kinase WEE1,18,0
CHEMBL5898,P22079,LPO,Lactoperoxidase,Oxidoreductase,18,0
CHEMBL5912,Q9NY57,STK32B,Serine/threonine-protein kinase 32B,AGC protein kinase YANK family,18,0
CHEMBL5976,P04792,HSPB1,Heat shock protein beta-1,Other cytosolic protein,18,0
CHEMBL6150,Q8WU08,STK32A,Serine/threonine-protein kinase 32A,AGC protein kinase YANK family,18,0
CHEMBL1914266,P10997,IAPP,Islet amyloid polypeptide,Secreted protein,18,0
CHEMBL3108634,Q00610,CLTC,Clathrin heavy chain 1,Structural protein,18,0
CHEMBL3259467,Q9Y265,RUVBL1,RuvB-like 1,Enzyme,18,0
CHEMBL3425389,P53041,PPP5C,Serine/threonine-protein phosphatase 5,Serine/threonine protein phosphatase,18,0
CHEMBL3721311,Q16877,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4",Enzyme,18,0
CHEMBL3779762,O95503,CBX6,Chromobox protein homolog 6,Chromodomain,18,0
CHEMBL4105737,Q9NRL2,BAZ1A,Bromodomain adjacent to zinc finger domain protein 1A,Bromodomain,18,0
CHEMBL4105743,P18074,ERCC2,General transcription and DNA repair factor IIH helicase subunit XPD,Hydrolase,18,0
CHEMBL4523461,Q9HB14,KCNK13,Potassium channel subfamily K member 13,Voltage-gated potassium channel,18,0
CHEMBL5465256,A4D1P6,WDR91,WD repeat-containing protein 91,WDR domain,18,0
CHEMBL2044,P80404,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",Transferase,17,0
CHEMBL3277,P13051,UNG,Uracil-DNA glycosylase,Hydrolase,17,0
CHEMBL3311,P01130,LDLR,Low-density lipoprotein receptor,Membrane receptor,17,0
CHEMBL3876,O95644,NFATC1,"Nuclear factor of activated T-cells, cytoplasmic 1",Other cytosolic protein,17,0
CHEMBL4056,Q16706,MAN2A1,Alpha-mannosidase 2,Hydrolase,17,0
CHEMBL5116,P0C264,SBK3,Uncharacterized serine/threonine-protein kinase SBK3,Other protein kinase NKF1 family,17,0
CHEMBL5549,Q8NG68,TTL,Tubulin--tyrosine ligase,Ligase,17,0
CHEMBL1250344,O15270,SPTLC2,Serine palmitoyltransferase 2,Transferase,17,0
CHEMBL1909486,Q9ULC6,PADI1,Protein-arginine deiminase type-1,Hydrolase,17,0
CHEMBL1938217,Q8NB16,MLKL,Mixed lineage kinase domain-like protein,Unclassified protein,17,0
CHEMBL1961792,Q92570,NR4A3,Nuclear receptor subfamily 4 group A member 3,Nuclear hormone receptor subfamily 4 group A member 3,17,0
CHEMBL2396511,Q9Y6W6,DUSP10,Dual specificity protein phosphatase 10,Serine/threonine/tyrosine protein phosphatase,17,0
CHEMBL3112385,Q9Y259,CHKB,Choline/ethanolamine kinase,Transferase,17,0
CHEMBL3399911,P35520,CBS,Cystathionine beta-synthase,Enzyme,17,0
CHEMBL3407323,Q14694,USP10,Ubiquitin carboxyl-terminal hydrolase 10,Cysteine protease C19 family,17,0
CHEMBL4105929,V9HWB9,HEL-S-133P,L-lactate dehydrogenase,Oxidoreductase,17,0
CHEMBL4523375,Q86W10,CYP4Z1,Cytochrome P450 4Z1,Oxidoreductase,17,0
CHEMBL4879437,P49842,WHR1,Inactive serine/threonine-protein kinase 19,Transferase,17,0
CHEMBL4713,P15169,CPN1,Carboxypeptidase N catalytic chain,Metallo protease M14B subfamily,16,0
CHEMBL3240,P11717,IGF2R,Cation-independent mannose-6-phosphate receptor,Membrane receptor,16,0
CHEMBL2241,P09210,GSTA2,Glutathione S-transferase A2,Transferase,16,0
CHEMBL4100,P16885,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",Hydrolase,16,0
CHEMBL2591,O15399,GRIN2D,"Glutamate receptor ionotropic, NMDA 2D",NMDA receptor,16,0
CHEMBL3730,P09417,QDPR,Dihydropteridine reductase,Oxidoreductase,16,0
CHEMBL2732,P54098,POLG,DNA polymerase subunit gamma-1,Transferase,16,0
CHEMBL4205,P22459,KCNA4,Potassium voltage-gated channel subfamily A member 4,Voltage-gated potassium channel,16,0
CHEMBL4328,Q93088,BHMT,Betaine--homocysteine S-methyltransferase 1,Transferase,16,0
CHEMBL3542,Q8IY84,NIM1K,Serine/threonine-protein kinase NIM1,CAMK protein kinase NIM1 subfamily,16,0
CHEMBL5753,Q96D53,COQ8B,"Atypical kinase COQ8B, mitochondrial",Atypical protein kinase ABC1-A subfamily,16,0
CHEMBL5856,Q96Q40,CDK15,Cyclin-dependent kinase 15,CMGC protein kinase PFTAIRE,16,0
CHEMBL1250378,Q15393,SF3B3,Splicing factor 3B subunit 3,Other nuclear protein,16,0
CHEMBL1293275,O00167,EYA2,Protein phosphatase EYA2,Enzyme,16,0
CHEMBL1649051,Q14451,GRB7,Growth factor receptor-bound protein 7,Unclassified protein,16,0
CHEMBL1795118,O43463,SUV39H1,Histone-lysine N-methyltransferase SUV39H1,Chromodomain,16,0
CHEMBL1908382,Q13523,PRP4K,Serine/threonine-protein kinase PRP4 homolog,CMGC protein kinase group,16,0
CHEMBL2062348,P54652,HSPA2,Heat shock-related 70 kDa protein 2,Other cytosolic protein,16,0
CHEMBL3124731,Q5JRX3,PITRM1,"Presequence protease, mitochondrial",Enzyme,16,0
CHEMBL3414409,Q2M385,MPEG1,Macrophage-expressed gene 1 protein,Unclassified protein,16,0
CHEMBL3710403,P31946,YWHAB,14-3-3 protein beta/alpha,Unclassified protein,16,0
CHEMBL4524041,Q07890,SOS2,Son of sevenless homolog 2,Unclassified protein,16,0
CHEMBL4524043,Q9GZU1,MCOLN1,Mucolipin-1,Transient receptor potential channel,16,0
CHEMBL1958,P14060,HSD3B1,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,Enzyme,15,0
CHEMBL4880,P60174,TPI1,Triosephosphate isomerase,Enzyme,15,0
CHEMBL2084,P07306,ASGR1,Asialoglycoprotein receptor 1,Membrane receptor,15,0
CHEMBL2154,Q9NZK7,PLA2G2E,Group IIE secretory phospholipase A2,Hydrolase,15,0
CHEMBL2597,Q13509,TUBB3,Tubulin beta-3 chain,Structural protein,15,0
CHEMBL2232,Q16549,PCSK7,Proprotein convertase subtilisin/kexin type 7,Serine protease S8B subfamily,15,0
CHEMBL2544,P19021,PAM,Peptidyl-glycine alpha-amidating monooxygenase,Enzyme,15,0
CHEMBL4610,O43895,XPNPEP2,Xaa-Pro aminopeptidase 2,Metallo protease M24B subfamily,15,0
CHEMBL4059,O00754,MAN2B1,Lysosomal alpha-mannosidase,Hydrolase,15,0
CHEMBL4281,Q9UNK4,PLA2G2D,Group IID secretory phospholipase A2,Hydrolase,15,0
CHEMBL2616,P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",Transferase,15,0
CHEMBL2933,P54707,ATP12A,Potassium-transporting ATPase alpha chain 2,Hydrogen potassium ATPase,15,0
CHEMBL5272,P35573,AGL,Glycogen debranching enzyme,Enzyme,15,0
CHEMBL5367,Q9UGP5,POLL,DNA polymerase lambda,Enzyme,15,0
CHEMBL5519,Q8N568,DCLK2,Serine/threonine-protein kinase DCLK2,CAMK protein kinase DCAMK1 family,15,0
CHEMBL6195,P15374,UCHL3,Ubiquitin carboxyl-terminal hydrolase isozyme L3,Cysteine protease C12 family,15,0
CHEMBL1163104,O95747,OXSR1,Serine/threonine-protein kinase OSR1,STE protein kinase FRAY subfamily,15,0
CHEMBL1163128,Q9Y2H9,MAST1,Microtubule-associated serine/threonine-protein kinase 1,AGC protein kinase MAST family,15,0
CHEMBL1671609,Q96HE7,ERO1A,ERO1-like protein alpha,Oxidoreductase,15,0
CHEMBL1772926,Q9UNH5,CDC14A,Dual specificity protein phosphatase CDC14A,Phosphatase,15,0
CHEMBL2073677,Q9NSA0,SLC22A11,Solute carrier family 22 member 11,SLC22 family of organic cation and anion transporters,15,0
CHEMBL2163185,Q9Y6E7,SIRT4,"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial",HDAC class III,15,1
CHEMBL2331059,Q15392,DHCR24,Delta(24)-sterol reductase,Oxidoreductase,15,0
CHEMBL2375202,Q9Y6Y9,LY96,Lymphocyte antigen 96,Surface antigen,15,0
CHEMBL2375206,Q09327,MGAT3,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",Transferase,15,0
CHEMBL3407326,Q8TE04,PANK1,Pantothenate kinase 1,Transferase,15,0
CHEMBL3638325,Q9BRH5,DGAT1,DGAT1 protein,Transferase,15,0
CHEMBL3784906,Q7LBC6,KDM3B,Lysine-specific demethylase 3B,Jumonji domain-containing,15,0
CHEMBL3988590,O75475,PSIP1,PC4 and SFRS1-interacting protein,PWWP domain,15,0
CHEMBL4296266,O95619,YEATS4,YEATS domain-containing protein 4,YEATS domain,15,0
CHEMBL4523126,O14815,CAPN9,Calpain-9,Hydrolase,15,0
CHEMBL4523253,P59540,TAS2R46,Taste receptor type 2 member 46,Taste receptor (taste family GPCR),15,0
CHEMBL4707,Q9NRE1,MMP26,Matrix metalloproteinase-26,Metallo protease M10A subfamily,14,1
CHEMBL2105,Q6QHF9,PAOX,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,Oxidoreductase,14,0
CHEMBL3133,Q9UBY0,SLC9A2,Sodium/hydrogen exchanger 2,SLC09 family of sodium/hydrogen exchangers,14,0
CHEMBL3284,P00325,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,Oxidoreductase,14,0
CHEMBL3404,P52209,PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Oxidoreductase,14,0
CHEMBL2743,P22612,PRKACG,cAMP-dependent protein kinase catalytic subunit gamma,AGC protein kinase PKA family,14,0
CHEMBL4388,P23919,DTYMK,Thymidylate kinase,Transferase,14,0
CHEMBL4703,P67775,PPP2CA,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,Serine/threonine protein phosphatase,14,0
CHEMBL2420,O75493,CA11,Carbonic anhydrase-related protein 11,Enzyme,14,1
CHEMBL4851,Q9Y2H1,STK38L,Serine/threonine-protein kinase 38-like,AGC protein kinase NDR family,14,0
CHEMBL5212,Q5TCQ9,MAGI3,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3",Enzyme,14,0
CHEMBL4535,Q9NSD5,SLC6A13,Sodium- and chloride-dependent GABA transporter 2,SLC06 neurotransmitter transporter family,14,0
CHEMBL5893,O60930,RNASEH1,Ribonuclease H1,Hydrolase,14,0
CHEMBL1293320,Q9Y570,PPME1,Protein phosphatase methylesterase 1,Hydrolase,14,0
CHEMBL2010624,P10599,TXN,Thioredoxin,Oxidoreductase,14,0
CHEMBL2016431,Q13564,NAE1,NEDD8-activating enzyme E1 regulatory subunit,Unclassified protein,14,0
CHEMBL2021753,O95235,KIF20A,Kinesin-like protein KIF20A,Other cytosolic protein,14,0
CHEMBL3797016,P56545,CTBP2,C-terminal-binding protein 2,Unclassified protein,14,0
CHEMBL4105981,Q8N5Y8,PARP16,Protein mono-ADP-ribosyltransferase PARP16,Transferase,14,0
CHEMBL4296022,P43358,MAGEA4,Melanoma-associated antigen 4,Unclassified protein,14,0
CHEMBL4296245,Q99504,EYA3,Protein phosphatase EYA3,Hydrolase,14,0
CHEMBL4630810,P07996,THBS1,Thrombospondin-1,Adhesion,14,0
CHEMBL4739667,O00560,SDCBP,Syntenin-1,Unclassified protein,14,0
CHEMBL5169186,Q92508,PIEZO1,Piezo-type mechanosensitive ion channel component 1,Unclassified protein,14,0
CHEMBL1925,P47872,SCTR,Secretin receptor,Secretin receptor receptor,13,0
CHEMBL2097,Q5R387,PLA2G2C,Putative inactive group IIC secretory phospholipase A2,Enzyme,13,0
CHEMBL4239,P39656,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Transferase,13,0
CHEMBL4243,Q14642,INPP5A,Inositol polyphosphate-5-phosphatase A,Phosphatase,13,0
CHEMBL1954,P31350,RRM2,Ribonucleoside-diphosphate reductase subunit M2,Oxidoreductase,13,0
CHEMBL3618,P12259,F5,Coagulation factor V,Secreted protein,13,0
CHEMBL2579,Q16445,GABRA6,Gamma-aminobutyric acid receptor subunit alpha-6,GABA-A receptor,13,0
CHEMBL2221,P13861,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit,Protein kinase regulatory subunit,13,0
CHEMBL3298,P06733,ENO1,Alpha-enolase,Enzyme,13,0
CHEMBL5021,P38936,CDKN1A,Cyclin-dependent kinase inhibitor 1,Other cytosolic protein,13,0
CHEMBL4300,P04271,S100B,Protein S100-B,Other cytosolic protein,13,0
CHEMBL4160,Q9UBR2,CTSZ,Cathepsin Z,Cysteine protease C1A family,13,0
CHEMBL5546,Q8NEV4,MYO3A,Myosin-IIIa,STE protein kinase NinaC subfamily,13,0
CHEMBL5953,O95267,RASGRP1,RAS guanyl-releasing protein 1,Other cytosolic protein,13,0
CHEMBL1075155,Q15208,STK38,Serine/threonine-protein kinase 38,AGC protein kinase NDR family,13,0
CHEMBL1075092,O75311,GLRA3,Glycine receptor subunit alpha-3,Glycine receptor,13,0
CHEMBL1615385,Q01196,RUNX1,Runt-related transcription factor 1,Transcription factor,13,0
CHEMBL1628477,P78348,ASIC1,Acid-sensing ion channel 1,Acid-sensing ion channel,13,0
CHEMBL1649059,Q86Y07,VRK2,Serine/threonine-protein kinase VRK2,Enzyme,13,0
CHEMBL1932896,P15311,EZR,Ezrin,Structural protein,13,0
CHEMBL2052034,Q9NRM0,SLC2A9,"Solute carrier family 2, facilitated glucose transporter member 9",SLC02 family of hexose and sugar alcohol transporters,13,0
CHEMBL2069163,Q96S53,TESK2,Dual specificity testis-specific protein kinase 2,TKL protein kinase group,13,0
CHEMBL2163177,Q6ZMT4,KDM7A,Lysine-specific demethylase 7A,Jumonji domain-containing,13,0
CHEMBL2169735,Q9UBM7,DHCR7,7-dehydrocholesterol reductase,Oxidoreductase,13,0
CHEMBL2331041,P57789,KCNK10,Potassium channel subfamily K member 10,Two-pore domain potassium channel,13,0
CHEMBL3407316,Q9Y5K5,UCHL5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,Cysteine protease C12 family,13,0
CHEMBL3407325,O14793,MSTN,Growth/differentiation factor 8,Secreted protein,13,0
CHEMBL3713303,P08962,CD63,CD63 antigen,Surface antigen,13,0
CHEMBL3779761,Q14781,CBX2,Chromobox protein homolog 2,Chromodomain,13,0
CHEMBL4296010,Q14457,BECN1,Beclin-1,Unclassified protein,13,0
CHEMBL2081,P09488,GSTM1,Glutathione S-transferase Mu 1,Transferase,12,0
CHEMBL4881,P30837,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",Oxidoreductase,12,0
CHEMBL4810,P04053,DNTT,DNA nucleotidylexotransferase,Transferase,12,0
CHEMBL3129,Q9Y2T3,GDA,Guanine deaminase,Hydrolase,12,0
CHEMBL2826,Q92824,PCSK5,Proprotein convertase subtilisin/kexin type 5,Serine protease S8B subfamily,12,0
CHEMBL2925,Q9NR82,KCNQ5,Potassium voltage-gated channel subfamily KQT member 5,Voltage-gated potassium channel,12,0
CHEMBL2500,P51580,TPMT,Thiopurine S-methyltransferase,Transferase,12,0
CHEMBL5037,Q92851,CASP10,Caspase-10,Cysteine protease C14 family,12,0
CHEMBL5119,P10070,GLI2,Zinc finger protein GLI2,Transcription factor,12,0
CHEMBL5722,P49961,ENTPD1,Ectonucleoside triphosphate diphosphohydrolase 1,Hydrolase,12,0
CHEMBL5887,Q99489,DDO,D-aspartate oxidase,Oxidoreductase,12,0
CHEMBL6121,Q9BZ11,ADAM33,Disintegrin and metalloproteinase domain-containing protein 33,Metallo protease M12B subfamily,12,0
CHEMBL5707,Q9HAS3,SLC28A3,Solute carrier family 28 member 3,SLC28 Na+-coupled nucleoside transport family,12,0
CHEMBL6177,O95544,NADK,NAD kinase,Transferase,12,0
CHEMBL5638,Q8NG66,NEK11,Serine/threonine-protein kinase Nek11,Other protein kinase Nek11,12,0
CHEMBL5871,P23416,GLRA2,Glycine receptor subunit alpha-2,Glycine receptor,12,0
CHEMBL1075169,Q93096,PTP4A1,Protein tyrosine phosphatase type IVA 1,Tyrosine protein phosphatase,12,0
CHEMBL1163117,Q8IVW4,CDKL3,Cyclin-dependent kinase-like 3,CMGC protein kinase CDKL family,12,0
CHEMBL1615388,Q9UBE0,SAE1,SUMO-activating enzyme subunit 1,Unclassified protein,12,0
CHEMBL1681631,O75608,LYPLA1,Acyl-protein thioesterase 1,Hydrolase,12,0
CHEMBL1743123,P46721,SLCO1A2,Solute carrier organic anion transporter family member 1A2,SLC21/SLCO family of organic anion transporting polypeptides,12,0
CHEMBL1781868,Q53EL6,PDCD4,Programmed cell death protein 4,Unclassified protein,12,0
CHEMBL1795114,Q9NNX6,CD209,CD209 antigen,Surface antigen,12,0
CHEMBL1921664,Q9UBU3,GHRL,Appetite-regulating hormone,Secreted protein,12,0
CHEMBL1932891,O95372,LYPLA2,Acyl-protein thioesterase 2,Hydrolase,12,0
CHEMBL2169731,P16435,POR,NADPH--cytochrome P450 reductase,Oxidoreductase,12,0
CHEMBL2295562,Q9BV47,DUSP26,Dual specificity protein phosphatase 26,Serine/threonine/tyrosine protein phosphatase,12,0
CHEMBL3745588,O75581,LRP6,Low-density lipoprotein receptor-related protein 6,Unclassified protein,12,0
CHEMBL4105767,Q9NQ90,ANO2,Anoctamin-2,Calcium-activated chloride channel,12,0
CHEMBL4523138,O43511,SLC26A4,Pendrin,SLC26 family of anion exchangers,12,0
CHEMBL4680024,P17302,GJA1,Gap junction alpha-1 protein,Unclassified protein,12,0
CHEMBL4680038,Q96I25,RBM17,Splicing factor 45,Other nuclear protein,12,0
CHEMBL4739685,Q13422,IKZF1,DNA-binding protein Ikaros,Transcription factor,12,0
CHEMBL4739700,Q96GW9,MARS2,"Methionine--tRNA ligase, mitochondrial",Ligase,12,0
CHEMBL5725017,Q96CP6,GRAMD1A,Protein Aster-A,Unclassified protein,12,0
CHEMBL2582,P20248,CCNA2,Cyclin-A2,Other cytosolic protein,11,0
CHEMBL4939,P48052,CPA2,Carboxypeptidase A2,Metallo protease M14A subfamily,11,0
CHEMBL2432,Q9H4A4,RNPEP,Aminopeptidase B,Metallo protease M1 family,11,0
CHEMBL2472,P48169,GABRA4,Gamma-aminobutyric acid receptor subunit alpha-4,GABA-A receptor,11,0
CHEMBL4184,P38571,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase,Hydrolase,11,0
CHEMBL3901,P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Calcium ATPase,11,0
CHEMBL2369,Q92952,KCNN1,Small conductance calcium-activated potassium channel protein 1,Calcium-activated potassium channel,11,0
CHEMBL2644,Q9UI42,CPA4,Carboxypeptidase A4,Metallo protease M14A subfamily,11,0
CHEMBL4850,P23469,PTPRE,Receptor-type tyrosine-protein phosphatase epsilon,Receptor tyrosine-protein phosphatase,11,0
CHEMBL5365,Q9UBT6,POLK,DNA polymerase kappa,Enzyme,11,0
CHEMBL5759,P31152,MAPK4,Mitogen-activated protein kinase 4,CMGC protein kinase ERK3,11,0
CHEMBL1075181,O00764,PDXK,Pyridoxal kinase,Transferase,11,0
CHEMBL1293193,P01160,NPPA,Natriuretic peptides A,Secreted protein,11,0
CHEMBL1615384,Q9H2X9,SLC12A5,Solute carrier family 12 member 5,SLC12 family of cation-coupled chloride transporters,11,0
CHEMBL2331058,P43657,LPAR6,Lysophosphatidic acid receptor 6,EDG receptor,11,0
CHEMBL3232692,P16070,CD44,CD44 antigen,Surface antigen,11,0
CHEMBL3509582,P09086,POU2F2,"POU domain, class 2, transcription factor 2",Transcription factor,11,0
CHEMBL3707467,Q13427,PPIG,Peptidyl-prolyl cis-trans isomerase G,Isomerase,11,0
CHEMBL4105724,Q6P2P2,PRMT9,Protein arginine N-methyltransferase 9,Transferase,11,0
CHEMBL4295950,Q9HBK9,AS3MT,Arsenite methyltransferase,Transferase,11,0
CHEMBL4523137,O43464,HTRA2,"Serine protease HTRA2, mitochondrial",Hydrolase,11,0
CHEMBL4523235,P51161,FABP6,Gastrotropin,Unclassified protein,11,0
CHEMBL4523286,Q13480,GAB1,GRB2-associated-binding protein 1,Unclassified protein,11,0
CHEMBL4523432,Q96Q04,LMTK3,Serine/threonine-protein kinase LMTK3,Transferase,11,0
CHEMBL4523593,P15170,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,Unclassified protein,11,0
CHEMBL4523872,Q5T601,ADGRF1,Adhesion G-protein coupled receptor F1,Family B G protein-coupled receptor,11,0
CHEMBL5465343,Q969R2,OSBP2,Oxysterol-binding protein 2,Unclassified protein,11,0
CHEMBL2442,P20151,KLK2,Kallikrein-2,Serine protease S1A subfamily,10,0
CHEMBL3167,P27169,PON1,Serum paraoxonase/arylesterase 1,Hydrolase,10,0
CHEMBL4811,Q16831,UPP1,Uridine phosphorylase 1,Transferase,10,0
CHEMBL3873,P07814,EPRS1,Bifunctional glutamate/proline--tRNA ligase,Enzyme,10,0
CHEMBL4612,P15104,GLUL,Glutamine synthetase,Ligase,10,0
CHEMBL3904,Q14573,ITPR3,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3",IP3 receptor,10,0
CHEMBL2665,P24593,IGFBP5,Insulin-like growth factor-binding protein 5,Secreted protein,10,0
CHEMBL4955,Q9NRR2,TPSG1,Tryptase gamma,Serine protease S1A subfamily,10,0
CHEMBL4463,P68402,PAFAH1B2,Platelet-activating factor acetylhydrolase IB subunit alpha2,Hydrolase,10,0
CHEMBL5279,P17658,KCNA6,Potassium voltage-gated channel subfamily A member 6,Voltage-gated potassium channel,10,0
CHEMBL5133,Q9UHI8,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,Metallo protease M12B subfamily,10,0
CHEMBL6173,P00395,MT-CO1,Cytochrome c oxidase subunit 1,Oxidoreduction-driven transporters,10,0
CHEMBL6153,Q9H6P5,TASP1,Threonine aspartase 1,Threonine protease T2 family,10,0
CHEMBL1795123,Q16543,CDC37,Hsp90 co-chaperone Cdc37,Unclassified protein,10,0
CHEMBL1938223,Q96S44,TP53RK,EKC/KEOPS complex subunit TP53RK,Enzyme,10,0
CHEMBL2010627,O00625,PIR,Pirin,Oxidoreductase,10,0
CHEMBL2069164,O15550,KDM6A,Lysine-specific demethylase 6A,Jumonji domain-containing,10,0
CHEMBL2321622,A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,Enzyme,10,0
CHEMBL3351192,Q9NSI6,BRWD1,Bromodomain and WD repeat-containing protein 1,WDR domain,10,0
CHEMBL3713916,Q15743,GPR68,G-protein coupled receptor 68,Family A G protein-coupled receptor,10,0
CHEMBL3817721,Q92947,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial",Oxidoreductase,10,0
CHEMBL3826867,P45973,CBX5,Chromobox protein homolog 5,Chromodomain,10,0
CHEMBL4105713,Q9UKK9,NUDT5,ADP-sugar pyrophosphatase,Transferase,10,0
CHEMBL4105816,Q6JQN1,ACAD10,Acyl-CoA dehydrogenase family member 10,Oxidoreductase,10,0
CHEMBL4295598,Q2L8D9,ABAD,Amyloid beta-binding alcohol dehydrogenase,Unclassified protein,10,0
CHEMBL4296001,P30101,PDIA3,Protein disulfide-isomerase A3,Isomerase,10,0
CHEMBL4296326,P58335,ANTXR2,Anthrax toxin receptor 2,Unclassified protein,10,0
CHEMBL4523196,P20231,TPSB2,Tryptase beta-2,Hydrolase,10,0
CHEMBL4523210,P29972,AQP1,Aquaporin-1,Water-specific aquaporin,10,0
CHEMBL4523294,Q14674,ESPL1,Separin,Hydrolase,10,0
CHEMBL4739705,Q9H7D0,DOCK5,Dedicator of cytokinesis protein 5,Unclassified protein,10,0
CHEMBL5465261,Q66K64,DCAF15,DDB1- and CUL4-associated factor 15,Unclassified protein,10,0
CHEMBL6066221,O60609,GFRA3,GDNF family receptor alpha-3,Membrane receptor,10,0
CHEMBL4879,P12104,FABP2,"Fatty acid-binding protein, intestinal",Fatty acid binding protein family,9,0
CHEMBL4942,Q93086,P2RX5,P2X purinoceptor 5,P2X receptor,9,0
