ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry
REP_08014,True,7.150813799841244,0.674474418,6.94076681,True,0.519792855,7.13025331,True
REP_08064,False,,0.751855671,6.86950827,True,0.959497869,7.11492872,False
REP_08103,False,10.04335008849138,0.667267144,6.96211672,True,0.755845249,7.10162878,False
REP_08132,True,7.310211830036116,0.612292528,7.58706045,False,0.298008382,6.62412882,False
REP_08137,False,12.747701988986089,0.792326689,7.12311983,False,0.461462706,6.37455225,False
REP_08143,False,11.05293336630597,0.787905335,6.63806772,True,0.77643311,6.5784049,False
REP_08161,False,14.516933767156203,0.926436543,6.84762955,True,0.833936334,6.8559494,False
REP_08210,True,3.1765190067115903,0.845389128,7.5578475,True,0.815809846,7.53336573,True
REP_08222,False,12.99483797513458,0.704134285,7.32041025,False,0.321309894,6.43205118,False
REP_08266,False,15.02666729517893,0.601342976,7.60387611,True,0.649643123,7.30954885,False
