patent_id,compound_number,smiles,activity_raw,activity_score,murcko_scaffold,mw,logp,tpsa,hbd,hba
WO2022204227,32,Cc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(F)c1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,373.4,4.95,49.0,1,2
WO2022204227,37,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccnnc1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccnnc2)cc1,387.4,3.69,84.0,1,5
WO2022204227,39,CCOc1cc(C(=O)N(C)Cc2cccc3nc[nH]c23)ccc1-c1ccn[nH]1,+,1.0,O=C(NCc1cccc2nc[nH]c12)c1ccc(-c2ccn[nH]2)cc1,375.4,3.62,86.9,2,4
WO2022204227,40,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cncnc1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2cncnc2)cc1,387.4,3.69,84.0,1,5
WO2022204227,41,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ncccn1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ncccn2)cc1,387.4,3.69,84.0,1,5
WO2022204227,45,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ncc(F)[nH]1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ncc[nH]2)cc1,393.4,3.76,86.9,2,4
WO2022204227,51,CCOc1cc(C(=O)N(C)Cc2cccc3nc[nH]c23)ccc1-c1cccc(F)c1,+,1.0,O=C(NCc1cccc2nc[nH]c12)c1ccc(-c2ccccc2)cc1,403.5,5.04,58.2,1,3
WO2022204227,54,CN(Cc1cccc2cn[nH]c12)C(=O)c1ccc(-c2ccccc2)cc1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,341.4,4.5,49.0,1,2
WO2022204227,55,CN(Cc1cccc2cn[nH]c12)C(=O)c1ccc(-c2ccccc2)c(F)c1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,359.4,4.64,49.0,1,2
WO2022204227,56,COc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccccc1F,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,389.4,4.65,58.2,1,3
WO2022204227,57,COc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccccc1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,371.4,4.51,58.2,1,3
WO2022204227,60,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccc(C#N)cc1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,410.5,4.77,82.0,1,4
WO2022204227,65,CN(Cc1cccc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c2c1CCO2,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)c2c1CCO2,401.4,4.58,58.2,1,3
