ligand,target,vina_mode,vina_score
PAB_019,PIK3CB,6,-7.952
PAB_019,PIK3CB,7,-7.771
PAB_019,PIK3CB,8,-7.676
PAB_019,PIK3CB,9,-7.194
PAB_020,PIK3CA,1,-7.257
PAB_020,PIK3CA,2,-7.206
PAB_020,PIK3CA,3,-7.134
PAB_020,PIK3CA,4,-7.029
PAB_020,PIK3CA,5,-6.807
PAB_020,PIK3CA,6,-6.614
PAB_020,PIK3CA,7,-6.553
PAB_020,PIK3CA,8,-6.536
PAB_020,PIK3CA,9,-6.417
PAB_020,PIK3CB,1,-7.58
PAB_020,PIK3CB,2,-7.315
PAB_020,PIK3CB,3,-7.285
PAB_020,PIK3CB,4,-7.157
PAB_020,PIK3CB,5,-6.929
PAB_020,PIK3CB,6,-6.813
PAB_020,PIK3CB,7,-6.727
PAB_020,PIK3CB,8,-6.662
PAB_020,PIK3CB,9,-6.325
PAB_021,PIK3CA,1,-7.418
PAB_021,PIK3CA,2,-7.12
PAB_021,PIK3CA,3,-7.069
PAB_021,PIK3CA,4,-7.06
PAB_021,PIK3CA,5,-7.032
PAB_021,PIK3CA,6,-6.976
PAB_021,PIK3CA,7,-6.925
PAB_021,PIK3CA,8,-6.826
PAB_021,PIK3CA,9,-6.79
PAB_021,PIK3CB,1,-8.351
PAB_021,PIK3CB,2,-8.191
PAB_021,PIK3CB,3,-8.07
PAB_021,PIK3CB,4,-8.018
PAB_021,PIK3CB,5,-7.886
PAB_021,PIK3CB,6,-7.778
PAB_021,PIK3CB,7,-7.754
PAB_021,PIK3CB,8,-7.705
PAB_021,PIK3CB,9,-7.686
PAB_022,PIK3CA,1,-8.19
PAB_022,PIK3CA,2,-8.139
PAB_022,PIK3CA,3,-8.01
PAB_022,PIK3CA,4,-7.796
PAB_022,PIK3CA,5,-7.728
PAB_022,PIK3CA,6,-7.544
PAB_022,PIK3CA,7,-7.402
PAB_022,PIK3CA,8,-7.354
PAB_022,PIK3CA,9,-7.298
PAB_022,PIK3CB,1,-8.622
PAB_022,PIK3CB,2,-8.574
PAB_022,PIK3CB,3,-8.157
PAB_022,PIK3CB,4,-7.973
PAB_022,PIK3CB,5,-7.913
PAB_022,PIK3CB,6,-7.824
PAB_022,PIK3CB,7,-7.763
PAB_022,PIK3CB,8,-7.741
PAB_022,PIK3CB,9,-7.571
PAB_023,PIK3CA,1,-7.028
PAB_023,PIK3CA,2,-6.909
PAB_023,PIK3CA,3,-6.604
PAB_023,PIK3CA,4,-6.547
PAB_023,PIK3CA,5,-6.435
PAB_023,PIK3CA,6,-6.352
PAB_023,PIK3CA,7,-6.289
PAB_023,PIK3CA,8,-6.172
PAB_023,PIK3CA,9,-5.898
PAB_023,PIK3CB,1,-8.562
PAB_023,PIK3CB,2,-8.081
PAB_023,PIK3CB,3,-7.866
PAB_023,PIK3CB,4,-7.483
PAB_023,PIK3CB,5,-7.46
