smiles,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)ncc32)cs1,6.2393575,6.6792746,8.194583,8.194583,-1.9552255,2.8463226138289173,0.5046467566575654,0.7167585489183522
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,7.0826387,7.4842505,8.348722,8.348722,-1.2660837,3.8123075359846057,0.44729905262422437,0.7167560514568079
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,7.0826387,7.4842505,8.348722,8.348722,-1.2660837,3.8123075359846057,0.44729905262422437,0.7167560514568079
COC(=O)c1c(CNC(=O)c2ccc(F)c(F)c2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.9496527,6.6814075,5.59223,7.9496527,1.2682452,2.3894129952570253,0.42039296522357295,0.7166601501191219
CC(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,7.7280993,7.271082,6.3434944,7.7280993,0.45701742,2.9170108809345496,0.5237045616796614,0.7165377577578491
COC(=O)c1c(CNC(=O)c2ccc(C(N)=O)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.9929423,6.7249365,6.1253557,7.9929423,1.2680058,2.363628348503614,0.40171505757849874,0.7162126913561642
COC(=O)c1c(CNC(=O)c2cccc(OC)c2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.9407697,6.7128463,5.5964994,7.9407697,1.2279234,2.3166435924230164,0.4175070745795339,0.7161888560592425
COC(=O)c1c(CNC(=O)c2ccc(F)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.867917,6.676101,5.4685307,7.867917,1.1918159,2.282932856812513,0.441074872854204,0.7161398402623592
COc1ccc(Oc2cc(Nc3ccccc3C(N)=O)c(F)cn2)cc1,6.3927145,5.852003,7.286742,7.286742,-0.8940277,2.115186454120625,0.7025487576211752,0.7160194260607876
NC(=O)N1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,6.723067,7.534612,8.095802,8.095802,-1.3727355,3.498571040111168,0.5243499784526612,0.7159994142834086
O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,6.487897,6.701427,8.237265,8.237265,-1.7493677,2.8127988985700334,0.46766621063964725,0.7157732617558156
N#CCc1cnc(-c2ccc3occc3c2)n1-c1ccnc(N[C@H]2CCCN(C(=O)C3CC3)C2)n1,7.2334666,7.140716,8.193386,8.193386,-0.95991945,3.507917586197375,0.4566728714484759,0.715393632089373
CCCN1Cc2cccc(C(=O)NCc3ccc4c(c3)OCO4)c2C1=O,6.546112,5.6615834,4.6796837,6.546112,0.88452864,2.2837464125405837,0.898388631060955,0.7150681063250666
CC(C)Nc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.182064,6.3697567,5.684279,7.182064,0.81230736,2.4966307036715314,0.6853566051884361,0.7148494979487259
Cc1csc(NC(=O)CN2C(=O)CCc3ccccc32)c1-c1ncn[nH]1,5.2841487,6.5970235,7.529457,7.529457,-2.2453084,2.714618412540583,0.7417387838444868,0.7145839431154459
CCNC(=O)N1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,6.597456,6.6742387,5.9711328,6.6742387,-0.0767827,2.588642766597486,0.8718035918026087,0.7145192578690769
CS(=O)(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCN(C(=O)CC#N)CC5)cccc43)n2)CC1,7.858815,7.1899824,5.986045,7.858815,0.6688328,2.964582403019497,0.46931843337502827,0.7143349261671497
CCOc1nc(C(=O)NCc2ccccc2)cc(N)c1C#N,6.575711,6.3376155,5.092455,6.575711,0.23809528,2.1751707517277,0.8766617058540564,0.7138803877962956
N#CCc1cnc(-c2ccc(Cl)c(Cl)c2)n1-c1ccnc(NC2CCCN(C(=O)C3CC3)C2)n1,6.759085,7.1302123,7.9564257,7.9564257,-1.1973405,3.3717522045794883,0.5390902173057578,0.713090210765485
N#CCc1cnc(-c2ccc(Cl)c(Cl)c2)n1-c1ccnc(N[C@H]2CCCN(C(=O)C3CC3)C2)n1,6.759085,7.1302123,7.9564257,7.9564257,-1.1973405,3.3717522045794883,0.5390902173057578,0.713090210765485
CN(C)S(=O)(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,7.9960284,7.195139,6.0842295,7.9960284,0.8008895,3.113338391389979,0.4193571640025237,0.7124600385182578
CCOc1nc(C(=O)NCc2cccnc2)cc(N)c1C#N,6.595386,6.6471214,5.2427244,6.6471214,-0.0517354,2.382018890685517,0.858341736670672,0.712370627471011
NC(=O)C1Cc2nc(-c3ccc4c(c3)CCO4)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,7.1896915,7.53546,7.9906435,7.9906435,-0.80095196,3.850096305589574,0.5174756652909702,0.7123249357264805
NC(=O)C1Cc2nc(-c3ccc4c(c3)CCO4)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,7.1896915,7.53546,7.9906435,7.9906435,-0.80095196,3.850096305589574,0.5174756652909702,0.7123249357264805
CCNC(=O)[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,7.7744217,7.267047,6.2999597,7.7744217,0.50737476,2.9220165382336294,0.4865550913218293,0.7123003713146467
COC(=O)c1c(CNC(=O)c2cnc(N3CCOCC3)s2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,8.070653,6.810898,6.483231,8.070653,1.2597551,2.744966030251046,0.37370758389675635,0.7122375637980078
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(C)nc32)cs1,6.2688837,6.8285513,8.093404,8.093404,-1.8245201,2.855347174652925,0.5070438501512778,0.7120257637530867
COC(=O)c1c(CNC(=O)c2ccc(S(N)(=O)=O)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,8.02826,6.7539973,6.001442,8.02826,1.2742629,2.432761263309457,0.37109423675016623,0.7118694508882034
CCc1n[nH]c(-c2c(Cl)csc2NC(=O)CN2C(=O)CCc3ncccc32)n1,5.29256,6.185649,7.825943,7.825943,-2.533383,3.096669467739586,0.6647444122211963,0.7117974538991982
COCCNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,6.6238275,6.713385,8.369306,8.369306,-1.7454782,2.665760794813325,0.39351649837782166,0.7117149121749714
CC(C)C(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,6.698554,6.6673555,6.1233754,6.698554,0.031198502,2.6006281156841755,0.8435614361382225,0.7116047888009054
CC(C)C(=O)N[C@H]1CC[C@@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,6.698554,6.6673555,6.1233754,6.698554,0.031198502,2.6006281156841755,0.8435614361382225,0.7116047888009054
[2H]C([2H])([2H])N1CC[C@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)ccc43)cs2)C1,6.6957693,6.5793624,8.357819,8.357819,-1.6620493,3.857879246609624,0.4490827596479123,0.7113543223068091
N#CCc1cnc(-c2ccc3c(c2)OCCO3)n1-c1ccnc(NC2CCCCC2)n1,7.217767,6.969056,5.6988125,7.217767,0.24871063,2.877690660124136,0.673199912433071,0.7111067492099579
O=C(NCc1cccnc1)c1cccc2c1C(=O)N(C1CCCCC1)C2,6.419077,5.841974,4.6215787,6.419077,0.57710314,2.257473214160017,0.9211174739819841,0.7109841470236932
CC(C)(O)[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCN(C(=O)CC#N)CC5)cccc43)n2)CC1,7.6412477,7.253432,6.097878,7.6412477,0.38781595,2.995458628219115,0.5295768748026272,0.7108481311313373
O=C(CN1C(=O)CCc2ncccc21)Nc1scc(Br)c1-c1ncn[nH]1,5.3094435,7.0711327,7.8049135,7.8049135,-2.49547,3.0187353356175066,0.6585636446527059,0.7104372713263192
C[C@@H](CO)Oc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.419555,6.461107,5.589797,7.419555,0.9584484,3.0308286317763535,0.606560326512653,0.710372642090541
N#Cc1csc(NC(=O)Cc2cccc3cnccc23)c1-c1ncn[nH]1,5.360354,6.6235137,8.034586,8.034586,-2.674232,2.847598112945443,0.581226713957777,0.7100768982641212
N#CCc1cnc(-c2ccc3c(c2)OCO3)n1-c1ccnc(NC2CCCN(C(=O)C3CC3)C2)n1,6.968758,7.1433506,7.692472,7.692472,-0.7237139,3.434566907464343,0.5830281879530722,0.7098772990671185
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C4CCCC4)c3n2)CC1,6.7732253,7.1723747,6.410122,7.1723747,-0.39914942,2.615581367264129,0.6992193285641077,0.709767041545948
CC(=O)N1CCN(c2cccc3c2c(C(N)=O)cn3-c2ccnc(N[C@H]3CC[C@H](CS(C)(=O)=O)CC3)n2)CC1,7.8474045,7.341588,6.511959,7.8474045,0.50581646,3.027663426355012,0.45329351096814363,0.7097003815287114
NC(=O)c1cnc(N[C@H]2CC[C@H](O)CC2)nc1Nc1ccccc1,6.664682,7.238377,6.252685,7.238377,-0.5736952,2.2589585564983796,0.6681674423651707,0.7091248717648618
CC(C)n1c(=O)ccc2cnc(N[C@H]3CC[C@H](NC(=O)NC4CCCC4)CC3)nc21,6.7805896,7.159954,6.4832397,7.159954,-0.3793645,2.639267950448387,0.6992193285641077,0.7089575038238467
