pair,seed,ligand,class,pdb,status,vina_mode1
EGFR/HER2,20260811,EH120_065,A_only,3RCD,ok,-8.609
EGFR/HER2,20260811,EH120_066,A_only,3POZ,ok,-8.658
EGFR/HER2,20260811,EH120_066,A_only,3RCD,ok,-8.511
EGFR/HER2,20260811,EH120_067,A_only,3POZ,ok,-8.508
EGFR/HER2,20260811,EH120_067,A_only,3RCD,ok,-8.83
EGFR/HER2,20260811,EH120_068,A_only,3POZ,ok,-8.773
EGFR/HER2,20260811,EH120_068,A_only,3RCD,ok,-8.972
EGFR/HER2,20260811,EH120_069,A_only,3POZ,ok,-8.596
EGFR/HER2,20260811,EH120_069,A_only,3RCD,ok,-8.83
EGFR/HER2,20260811,EH120_070,A_only,3POZ,ok,-8.848
EGFR/HER2,20260811,EH120_070,A_only,3RCD,ok,-9.11
EGFR/HER2,20260811,EH120_071,A_only,3POZ,ok,-9.771
EGFR/HER2,20260811,EH120_071,A_only,3RCD,ok,-10.037
EGFR/HER2,20260811,EH120_072,A_only,3POZ,ok,-11.148
EGFR/HER2,20260811,EH120_072,A_only,3RCD,ok,-11.015
EGFR/HER2,20260811,EH120_073,A_only,3POZ,ok,-9.938
EGFR/HER2,20260811,EH120_073,A_only,3RCD,ok,-9.931
EGFR/HER2,20260811,EH120_074,A_only,3POZ,ok,-8.359
EGFR/HER2,20260811,EH120_074,A_only,3RCD,ok,-8.506
EGFR/HER2,20260811,EH120_075,A_only,3POZ,ok,-8.135
EGFR/HER2,20260811,EH120_075,A_only,3RCD,ok,-8.217
EGFR/HER2,20260811,EH120_076,A_only,3POZ,ok,-8.381
EGFR/HER2,20260811,EH120_076,A_only,3RCD,ok,-8.756
EGFR/HER2,20260811,EH120_077,A_only,3POZ,ok,-8.644
EGFR/HER2,20260811,EH120_077,A_only,3RCD,ok,-9.528
EGFR/HER2,20260811,EH120_078,A_only,3POZ,ok,-9.919
EGFR/HER2,20260811,EH120_078,A_only,3RCD,ok,-9.556
EGFR/HER2,20260811,EH120_079,A_only,3POZ,ok,-7.835
EGFR/HER2,20260811,EH120_079,A_only,3RCD,ok,-7.739
EGFR/HER2,20260811,EH120_080,B_only,3POZ,ok,-9.497
EGFR/HER2,20260811,EH120_080,B_only,3RCD,ok,-10.133
EGFR/HER2,20260811,EH120_081,B_only,3POZ,ok,-10.596
EGFR/HER2,20260811,EH120_081,B_only,3RCD,ok,-10.789
EGFR/HER2,20260811,EH120_082,B_only,3POZ,ok,-9.726
EGFR/HER2,20260811,EH120_082,B_only,3RCD,ok,-9.746
EGFR/HER2,20260811,EH120_083,B_only,3POZ,ok,-10.843
EGFR/HER2,20260811,EH120_083,B_only,3RCD,ok,-10.869
EGFR/HER2,20260811,EH120_084,B_only,3POZ,ok,-10.637
EGFR/HER2,20260811,EH120_084,B_only,3RCD,ok,-10.689
EGFR/HER2,20260811,EH120_085,B_only,3POZ,ok,-10.905
EGFR/HER2,20260811,EH120_085,B_only,3RCD,ok,-11.495
EGFR/HER2,20260811,EH120_086,B_only,3POZ,ok,-10.438
EGFR/HER2,20260811,EH120_086,B_only,3RCD,ok,-10.719
EGFR/HER2,20260811,EH120_087,B_only,3POZ,ok,-10.823
EGFR/HER2,20260811,EH120_087,B_only,3RCD,ok,-10.851
EGFR/HER2,20260811,EH120_088,B_only,3POZ,ok,-10.934
EGFR/HER2,20260811,EH120_088,B_only,3RCD,ok,-12.227
EGFR/HER2,20260811,EH120_089,B_only,3POZ,ok,-8.671
EGFR/HER2,20260811,EH120_089,B_only,3RCD,ok,-9.327
EGFR/HER2,20260811,EH120_090,B_only,3POZ,ok,-9.428
EGFR/HER2,20260811,EH120_090,B_only,3RCD,ok,-9.607
EGFR/HER2,20260811,EH120_091,B_only,3POZ,ok,-9.863
EGFR/HER2,20260811,EH120_091,B_only,3RCD,ok,-10.474
EGFR/HER2,20260811,EH120_092,B_only,3POZ,ok,-10.637
EGFR/HER2,20260811,EH120_092,B_only,3RCD,ok,-10.807
EGFR/HER2,20260811,EH120_093,B_only,3POZ,ok,-10.28
EGFR/HER2,20260811,EH120_093,B_only,3RCD,ok,-10.39
