name,qed,mw,clogp,tpsa,hbd,hba,heavy_atoms,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok
REZATAPOPT,0.3016762794589155,545.5810000000001,4.489500000000004,70.56,3,6,39,False,True,False,True
PF-06952229,0.4077402678944555,458.92100000000016,3.886100000000004,107.37,4,6,32,True,True,True,True
TARANABANT,0.3810329571116698,515.9630000000002,6.314080000000006,75.00999999999999,1,4,36,False,True,False,False
NAZARTINIB,0.515927271936796,495.0270000000004,4.316820000000003,83.36,1,6,35,True,True,False,True
BMS-986142,0.2954746862253576,572.6120000000001,4.399020000000004,123.11,3,6,42,False,True,False,False
DM-1157,0.3118665191843563,487.05100000000016,5.323800000000005,65.97,2,6,35,False,True,False,True
DEUCRICTIBANT,0.3201430604211338,534.9441017780002,5.126620000000004,91.16,1,7,37,False,True,False,True
PELITINIB,0.4479232477463382,467.9320000000002,5.097580000000004,90.28,2,6,33,False,True,True,True
VS-4718,0.4290621770908041,501.5090000000003,4.792400000000003,87.75000000000001,3,7,36,False,True,False,True
SAFUSIDENIB,0.2665984671499385,535.7860000000002,7.555820000000004,85.33,1,5,35,False,True,False,False
BARIXIBAT,0.0462912592799733,757.9290000000001,4.1487000000000025,217.39,9,11,55,False,False,False,False
CRELOSIDENIB,0.5093837867233625,504.63500000000033,4.297600000000004,90.90000000000002,1,7,37,False,True,False,True
ACODAZOLE,0.5849720818797375,345.406,4.145820000000002,73.91,2,4,26,True,True,True,True
OPNURASIB,0.3094573964938545,526.0440000000002,5.599840000000005,84.63000000000001,1,6,38,False,True,False,False
MITRATAPIDE,0.1527155685709691,717.2960000000002,5.553000000000006,104.70000000000002,0,13,50,False,False,False,False
MILADEMETAN,0.3835329579286709,618.5370000000001,3.961100000000002,135.44,4,6,42,False,True,False,False
LUVOMETINIB,0.2786651643628524,665.4600000000002,4.627600000000003,115.09,2,8,39,False,True,False,False
BMS-903452,0.5154706101008101,513.3780000000003,3.524700000000002,94.39,0,8,33,False,True,False,True
JTK-853,0.2486027655056867,704.6500000000004,5.216100000000004,117.61999999999998,1,9,47,False,True,False,False
TIRILAZAD,0.3868790579281535,624.8739999999999,5.458300000000006,72.88000000000001,0,8,46,False,True,False,False
PF-06273340,0.3422468217949902,479.9280000000002,2.5965,148.91000000000005,3,9,34,True,False,True,False
CI-988,0.1967681630929873,614.7430000000005,4.858500000000003,149.61999999999998,5,5,45,False,False,False,False
CENICRIVIROC,0.0877292512857614,696.9579999999999,8.741700000000005,91.68,1,7,50,False,False,False,False
EDASALONEXENT,0.1579149785543374,490.6880000000003,6.716100000000007,78.43,3,3,36,False,False,False,False
GDC-0917,0.3573135389142411,564.712,4.067600000000003,129.46,3,8,40,False,True,False,False
BOLAZINE,0.2932872862424574,604.9640000000002,9.082600000000005,65.18,2,4,44,False,True,False,False
BAMOCAFTOR POTASSIUM,0.305039957463292,590.6480000000001,5.906300000000005,108.49,0,8,41,False,True,False,False
ZOLASARTAN,0.2413108103269389,555.8200000000002,5.981400000000004,122.72,2,7,35,False,True,False,False
TILDACERFONT,0.59042799897298,419.9820000000001,4.863240000000006,55.55,0,7,28,True,True,True,True
EMILUMENIB,0.3012027456323061,574.6290000000001,4.388200000000003,105.52,2,10,40,False,True,False,False
RONICICLIB,0.6137860935627716,430.45200000000017,3.9551700000000025,108.19,3,7,29,True,True,True,True
CANLITINIB,0.1048847955241747,619.621,6.6951000000000045,136.07999999999998,3,7,45,False,False,False,False
TIPROSTANIDE,0.1096928177596285,583.7910000000005,6.567900000000007,112.93,3,7,41,False,False,False,False
VALOMACICLOVIR STEARATE,0.0887040985380131,618.864,6.039300000000004,168.21000000000004,3,10,44,False,False,False,False
TUBOCURARINE,0.2449408495712499,609.7429999999999,6.701000000000008,80.62,2,7,45,False,True,False,False
PF-03715455,0.1066875488657963,700.2900000000001,7.795800000000009,129.6,4,10,48,False,True,False,False
SAPACITABINE,0.2800539400533609,490.64500000000015,4.053480000000002,137.47000000000003,3,8,35,True,False,False,False
TAK-960,0.5523472355183279,561.6090000000002,3.5526000000000018,102.93,2,8,40,False,True,False,False
BAVTAVIRINE,0.4159623383317382,416.4880000000001,5.647900000000004,111.41,2,6,32,False,True,False,False
BAFREKALANT,0.3464502676900512,531.0600000000002,5.065700000000004,75.86,0,7,38,False,True,False,True
GDC-0134,0.7100492632617053,440.4010000000001,2.5451000000000006,89.63,1,8,31,True,True,True,True
DS-1001B,0.2205015063174214,608.9250000000003,8.299420000000007,111.35,2,6,40,False,True,False,False
PF-5190457,0.3991206041445197,512.6830000000002,4.624040000000004,66.63,0,7,37,False,True,False,True
DELEOBUVIR SODIUM,0.231804689744891,652.5730000000001,5.5144000000000055,117.76000000000002,1,8,44,False,True,False,False
MK-0893,0.1860738341765024,588.4910000000003,7.4995000000000065,93.45,2,5,41,False,True,False,False
RUPINTRIVIR,0.2087387007342162,598.6720000000004,2.824920000000001,156.7,3,8,43,False,False,False,False
RO-6870810,0.4600383164015265,540.1370000000004,3.943360000000004,78.65,1,8,37,False,True,False,True
NURANDOCIGUAT,0.3347383515296535,572.1000000000001,6.458800000000007,64.84,1,6,40,False,True,False,False
SODELGLITAZAR,0.2770874413828541,499.5510000000002,7.119140000000007,59.42,1,5,33,False,True,False,False
SAPITINIB,0.5397024631329128,473.9360000000002,3.763700000000002,88.61000000000001,2,7,33,True,True,True,True
TAS0612,0.4217345874686923,571.6520000000002,4.396400000000003,119.79,3,9,41,False,True,False,False
CINTIRORGON,0.2930383447317851,603.5370000000003,6.570100000000005,93.14,1,5,41,False,True,False,False
SEPETAPROST,0.3846083698116004,482.56400000000025,4.174800000000004,85.22000000000001,2,6,34,True,True,False,True
ABIVERTINIB,0.3300741005415762,487.5390000000002,4.5092000000000025,98.41,3,7,36,True,True,False,True
DASATINIB LAURYLSULFATE,0.0728633950607018,754.4199999999996,7.040240000000008,170.11,4,12,50,False,False,False,False
SYROSINGOPINE,0.1921079424865918,666.7240000000003,4.697800000000004,144.08,1,12,48,False,False,False,False
