repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type
REP_05013,CHEMBL2218886,OXOPROSTOL,O=C(CCC1CCC(=O)C1CCCCCCCO)COc1ccccc1,CQGDJYVHVNYIMQ-UHFFFAOYSA-N,360.49,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05014,CHEMBL2218888,CLIROPAMINE,Cc1ccc(C(O)C(C)NCCCc2ccccc2)cc1O,AUTKZDGLQYYXLZ-UHFFFAOYSA-N,299.41,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05015,CHEMBL2218890,ELGODIPINE,CC1=C(C(=O)OCCN(C)Cc2ccc(F)cc2)C(c2cccc3c2OCO3)C(C(=O)OC(C)C)=C(C)N1,ZGRIPYHIFXGCHR-UHFFFAOYSA-N,524.59,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05016,CHEMBL2218897,DALVASTATIN,Cc1cc(C2=C(/C=C/C3CC(O)CC(=O)O3)C(C)(C)CC(C)(C)C2)ccc1F,VDSBXXDKCUBMQC-BQYQJAHWSA-N,386.51,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05017,CHEMBL2218899,CISCONAZOLE,Fc1ccc2c(c1)C(OCc1c(F)cccc1F)C(Cn1ccnc1)S2,INJPEINGXBVKEB-UHFFFAOYSA-N,376.4,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05018,CHEMBL2218900,CABASTINE,CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1,ZCGOMHNNNFPNMX-UHFFFAOYSA-N,420.53,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05019,CHEMBL2218904,LORPIPRAZOLE,FC(F)(F)c1cccc(N2CCN(CCc3nnc4n3CC3CCCC43)CC2)c1,BNRMWKUVWLKDQJ-UHFFFAOYSA-N,405.47,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05020,CHEMBL2218905,FURNIDIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC2CCCO2)C1c1ccccc1[N+](=O)[O-],GGVUNNUOJDGCBK-UHFFFAOYSA-N,416.43,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05021,CHEMBL2218906,DIMOXAPROST,CCOCC(C)(C)[C@H](O)/C=C/C1C(O)CC(=O)C1C/C=C\CCCC(=O)O,UJFDLBWYYFZXDS-CJOPOSBBSA-N,382.5,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05022,CHEMBL2218907,ZILPATEROL,CC(C)NC1CCn2c(=O)[nH]c3cccc(c32)C1O,ZSTCZWJCLIRCOJ-UHFFFAOYSA-N,261.32,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05023,CHEMBL2218910,PEMEDOLAC,CCC1(CC(=O)O)OCC(Cc2ccccc2)c2c1[nH]c1ccccc21,BUUODSZYUAZDIF-UHFFFAOYSA-N,349.43,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05024,CHEMBL2218915,BERVASTATIN,CCOC(=O)CC(O)CC(O)/C=C/C1=C(c2ccc(F)cc2)c2ccccc2OC12CCCC2,ZADJRRFMOOACHL-BUHFOSPRSA-N,466.55,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05025,CHEMBL2218916,DURAPATITE,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-],DEMJYWYZJFNNNB-UHFFFAOYSA-E,284.91,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05026,CHEMBL2218918,ACITEMATE,CCOC(=O)c1cnc2n(c1=O)C(C)CCC2CC(=O)O,IRGLQUMAHASUTG-UHFFFAOYSA-N,294.31,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05027,CHEMBL2218922,LORTALAMINE,CN1CCC23NC(=O)CC(c4cc(Cl)ccc4O2)C3C1,MJRPHRMGEKCADU-UHFFFAOYSA-N,292.77,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05028,CHEMBL2218923,LUPROSTIOL,O=C(O)CCC/C=C\CC1C(O)CC(O)C1SCC(O)COc1cccc(Cl)c1,KFUDFIMHDRJVLV-IWQZZHSRSA-N,444.98,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05029,CHEMBL2219412,AFOXOLANER,O=C(CNC(=O)c1ccc(C2=NOC(c3cc(Cl)cc(C(F)(F)F)c3)(C(F)(F)F)C2)c2ccccc12)NCC(F)(F)F,OXDDDHGGRFRLEE-UHFFFAOYSA-N,625.88,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05030,CHEMBL2219421,RECILISIB,O=C(O)c1ccc(/C=C/S(=O)(=O)Cc2ccc(Cl)cc2)cc1,KBEKQQJUNVQLDZ-MDZDMXLPSA-N,336.8,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05031,CHEMBL2220384,TILIDINE,CCOC(=O)C1(c2ccccc2)CCC=CC1N(C)C,WDEFBBTXULIOBB-UHFFFAOYSA-N,273.38,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05032,CHEMBL2220404,CLOPROSTENOL,O=C(O)CCC/C=C\CC1C(O)CC(O)C1/C=C/C(O)COc1cccc(Cl)c1,VJGGHXVGBSZVMZ-YVKATYTESA-N,424.92,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05033,CHEMBL2220420,PICENADOL,CCCC1(c2cccc(O)c2)CCN(C)CC1C,RTOHPIRUUAKHOZ-UHFFFAOYSA-N,247.38,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05034,CHEMBL2220428,ISOMOLPAN,CCCN1CCCC2c3cc(O)ccc3OCC21,GSLWRDKYYIQKIM-UHFFFAOYSA-N,247.34,2.0,,True,False,False,phase_only,,Small molecule,MOL
