pair,bindingdb_monomerid,inchikey,frozen_class_theta6_mixed,pA_mixed,pB_mixed,in_scored_panel_structure,in_chembl_map_structure,panel_pmid_overlap,unichem_status,n_pmids,independent_structure_and_literature,affinity_types
PIK3CA/mTOR,50180636,MZFQJTVJGDZHMD-AUEPDCJTSA-N,A_only,6.0362,5.9586,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50188961,JOWXJLIFIIOYMS-UHFFFAOYSA-N,dual,8.1024,6.7328,0,0,0,unichem_skipped_bulk,9,0,IC50
PIK3CA/mTOR,50200930,KHWGXDFXYVESQN-UHFFFAOYSA-N,B_only,5.18,6.4498,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200968,MAEHEIXUINDDHE-UHFFFAOYSA-N,A_only,6.1798,5.9101,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200969,DKTMKUHYROTKCJ-UHFFFAOYSA-N,neither,5.87,4.89,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200970,XHADQZSGBXAFFU-UHFFFAOYSA-N,neither,5.24,4.97,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200972,QPCSZDZDHHSVIP-UHFFFAOYSA-N,neither,5.8,4.97,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200973,VMSCVSQPPSKFDR-UHFFFAOYSA-N,neither,4.78,4.63,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200974,OYJBSHKZMWMHDE-UHFFFAOYSA-N,neither,5.2899,4.6927,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200975,GWFUHMDGIDDKAR-UHFFFAOYSA-N,neither,5.09,4.63,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200976,RHNMDCDXJHDXEU-UHFFFAOYSA-N,A_only,6.04,5.33,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200977,QBFBOELIVLCBKE-UHFFFAOYSA-N,A_only,6.2097,5.62,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50200978,BHDJOPWZGIPZLV-UHFFFAOYSA-N,neither,5.37,4.67,0,0,0,unichem_skipped_bulk,1,0,KD
PIK3CA/mTOR,50202546,KPHKHHHLIKEDLQ-UHFFFAOYSA-N,dual,8.8861,8.4202,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50202547,AQYTWWQAZAOONP-UHFFFAOYSA-N,dual,9.1871,8.9586,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50202550,WKECSELYDBZHQV-UHFFFAOYSA-N,dual,9.2291,8.6576,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50204093,PZBCKZWLPGJMAO-UHFFFAOYSA-N,dual,9.9586,7.3468,0,0,0,unichem_skipped_bulk,9,0,IC50
PIK3CA/mTOR,50207169,CCCHXFXRXKOQKH-UHFFFAOYSA-N,A_only,7.585,5.7447,0,0,0,unichem_skipped_bulk,2,0,IC50
PIK3CA/mTOR,50208517,XRKYMMUGXMWDAO-UHFFFAOYSA-N,A_only,6.3391,5.2534,0,0,0,unichem_skipped_bulk,2,0,IC50
PIK3CA/mTOR,50230926,PESHAFCSMREEAN-UHFFFAOYSA-N,dual,8.7696,8.0,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50233666,IXSQTDIQFDKYIS-NRFANRHFSA-N,dual,8.1367,6.6819,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50233667,CIEPFNWWFNULHV-QFIPXVFZSA-N,dual,8.1739,6.9431,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50237533,BKMXVVIHRZYVSO-INIZCTEOSA-N,B_only,5.3549,7.1739,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50237534,JDBFJYXPPSRGTL-INIZCTEOSA-N,B_only,5.5079,7.2076,0,0,0,unichem_skipped_bulk,1,0,IC50
