pair,ligand,molecule_chembl_id,frozen_class,high_conf_class_theta6,high_conf_max_A,high_conf_max_B,n_high_conf_A,n_high_conf_B,complete_high_conf,class_matches_frozen,vina_A,vina_B
AChE/BChE,AB_088,CHEMBL4079345,neither,neither,5.12,4.82,1,1,1,1,10.266,8.479
AChE/BChE,AB_089,CHEMBL4792013,neither,neither,4.78,5.12,1,1,1,1,11.528,8.907
AChE/BChE,AB_090,CHEMBL5205468,neither,neither,4.51,5.46,1,1,1,1,10.336,8.445
AChE/BChE,AB_091,CHEMBL4787165,neither,neither,4.76,5.19,1,1,1,1,10.594,8.735
AChE/BChE,AB_092,CHEMBL4084714,neither,neither,5.05,4.98,1,1,1,1,9.566,7.713
AChE/BChE,AB_093,CHEMBL4874487,neither,neither,4.17,4.21,1,1,1,1,10.324,10.2
AChE/BChE,AB_094,CHEMBL4761179,neither,neither,4.71,5.29,1,1,1,1,10.472,8.896
AChE/BChE,AB_095,CHEMBL3407583,neither,neither,4.81,5.15,1,1,1,1,10.85,9.456
AChE/BChE,AB_096,CHEMBL4101703,neither,neither,4.45,4.9,1,1,1,1,10.472,8.055
AChE/BChE,AB_098,CHEMBL3335049,neither,neither,5.21,4.74,1,1,1,1,11.784,11.206
AChE/BChE,AB_099,CHEMBL3407584,neither,neither,5.31,5.14,1,1,1,1,10.939,8.751
AChE/BChE,AB_100,CHEMBL4788885,neither,neither,5.03,4.44,1,1,1,1,9.776,8.384
PIK3CA/PIK3CB,PAB_001,CHEMBL2322225,dual,dual,6.66,6.79,1,1,1,1,8.583,8.602
PIK3CA/PIK3CB,PAB_002,CHEMBL1950037,dual,dual,8.3,6.7,1,1,1,1,7.484,8.223
PIK3CA/PIK3CB,PAB_003,CHEMBL6030119,dual,dual,7.19,6.75,1,1,1,1,7.885,8.986
PIK3CA/PIK3CB,PAB_004,CHEMBL6018217,dual,dual,8.3,8.15,1,1,1,1,8.768,8.369
PIK3CA/PIK3CB,PAB_005,CHEMBL2165031,dual,dual,7.41,8.15,1,1,1,1,8.757,7.572
PIK3CA/PIK3CB,PAB_006,CHEMBL5781318,dual,dual,7.02,7.6,1,1,1,1,9.4,8.344
PIK3CA/PIK3CB,PAB_007,CHEMBL3799187,dual,dual,8.0,8.05,2,3,1,1,8.433,8.41
PIK3CA/PIK3CB,PAB_008,CHEMBL2165269,dual,dual,6.96,7.64,1,1,1,1,8.254,7.944
PIK3CA/PIK3CB,PAB_009,CHEMBL2165052,dual,dual,7.92,8.52,2,1,1,1,8.728,8.162
PIK3CA/PIK3CB,PAB_010,CHEMBL4167465,dual,dual,7.7,7.04,1,1,1,1,8.03,8.003
PIK3CA/PIK3CB,PAB_011,CHEMBL5929092,dual,dual,7.5,6.56,1,1,1,1,7.828,9.297
PIK3CA/PIK3CB,PAB_012,CHEMBL4864419,dual,dual,9.15,8.77,1,1,1,1,9.823,10.146
PIK3CA/PIK3CB,PAB_013,CHEMBL4165122,dual,dual,7.27,7.55,1,1,1,1,7.13,8.902
PIK3CA/PIK3CB,PAB_014,CHEMBL3318708,dual,dual,6.8,7.92,1,1,1,1,8.082,8.349
PIK3CA/PIK3CB,PAB_015,CHEMBL4176771,dual,dual,9.0,9.4,1,1,1,1,9.867,9.319
PIK3CA/PIK3CB,PAB_016,CHEMBL2165191,dual,dual,7.1,8.0,3,13,1,1,7.868,9.01
PIK3CA/PIK3CB,PAB_017,CHEMBL4297629,dual,dual,8.13,8.27,1,1,1,1,7.901,8.637
PIK3CA/PIK3CB,PAB_018,CHEMBL4853440,dual,dual,9.15,8.52,1,1,1,1,10.009,9.307
PIK3CA/PIK3CB,PAB_019,CHEMBL3408247,dual,dual,6.77,8.52,2,3,1,1,8.883,9.019
PIK3CA/PIK3CB,PAB_020,CHEMBL2322230,dual,dual,6.75,6.82,1,1,1,1,7.257,7.58
PIK3CA/PIK3CB,PAB_021,CHEMBL4166220,dual,dual,8.64,8.18,1,1,1,1,7.418,8.351
PIK3CA/PIK3CB,PAB_022,CHEMBL3799511,dual,dual,8.05,8.52,2,3,1,1,8.19,8.622
PIK3CA/PIK3CB,PAB_023,CHEMBL1796763,dual,dual,8.52,6.69,2,2,1,1,7.028,8.562
PIK3CA/PIK3CB,PAB_024,CHEMBL1082621,dual,dual,9.7,9.15,1,1,1,1,7.448,8.406
PIK3CA/PIK3CB,PAB_025,CHEMBL5723005,dual,dual,6.6,6.7,1,2,1,1,8.619,9.105
PIK3CA/PIK3CB,PAB_026,CHEMBL4228563,dual,dual,7.59,6.66,1,1,1,1,8.453,8.907
PIK3CA/PIK3CB,PAB_027,CHEMBL3112855,dual,dual,6.66,8.1,1,2,1,1,8.642,9.633
PIK3CA/PIK3CB,PAB_028,CHEMBL5094393,dual,dual,8.0,7.15,1,1,1,1,7.905,8.302
PIK3CA/PIK3CB,PAB_029,CHEMBL5661831,A_only,A_only,6.72,5.03,1,1,1,1,8.123,8.174
PIK3CA/PIK3CB,PAB_030,CHEMBL3608928,A_only,A_only,7.62,5.15,1,1,1,1,7.602,6.682
