molecule_chembl_id,target_chembl_id,assay_chembl_id,document_chembl_id,pchembl_value,standard_type,standard_relation,assay_type,assay_organism,confidence_score,keep,exclusion_reasons
CHEMBL4278886,CHEMBL1824,CHEMBL4272062,CHEMBL4270530,5.82,IC50,=,B,Homo sapiens,9,1,
CHEMBL4280835,CHEMBL1824,CHEMBL4272062,CHEMBL4270530,4.72,IC50,=,B,Homo sapiens,9,1,
CHEMBL4286733,CHEMBL1824,CHEMBL4272062,CHEMBL4270530,4.43,IC50,=,B,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL4342873,CHEMBL4342409,8.0,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL483321,CHEMBL1824,CHEMBL4413158,CHEMBL4411304,7.37,Kd,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL483321,CHEMBL1824,CHEMBL4673496,CHEMBL4673178,8.0,IC50,=,B,,8,0,potential_duplicate
CHEMBL483321,CHEMBL1824,CHEMBL4673497,CHEMBL4673178,7.5,IC50,=,B,,8,0,potential_duplicate
CHEMBL483321,CHEMBL1824,CHEMBL4724190,CHEMBL4715878,8.0,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL5204650,CHEMBL1824,CHEMBL5110648,CHEMBL5108025,6.92,IC50,=,B,Homo sapiens,9,1,
CHEMBL5176920,CHEMBL1824,CHEMBL5162302,CHEMBL5154811,8.97,IC50,=,B,Homo sapiens,9,1,
CHEMBL5176920,CHEMBL1824,CHEMBL5162311,CHEMBL5154811,,Ratio IC50,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL5176920,CHEMBL1824,CHEMBL5162312,CHEMBL5154811,,Ratio IC50,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL5221067,CHEMBL1824,CHEMBL5216307,CHEMBL5214926,9.85,IC50,=,B,Homo sapiens,9,1,
CHEMBL4575427,CHEMBL1824,CHEMBL5243758,CHEMBL5241122,4.42,IC50,=,B,Homo sapiens,9,1,
CHEMBL5270270,CHEMBL1824,CHEMBL5253688,CHEMBL5252533,5.06,IC50,=,B,Homo sapiens,9,1,
CHEMBL5282641,CHEMBL1824,CHEMBL5255145,CHEMBL5252585,9.02,IC50,=,B,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444466,CHEMBL5444388,6.6,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444467,CHEMBL5444388,6.15,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444468,CHEMBL5444388,6.09,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444469,CHEMBL5444388,6.02,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444470,CHEMBL5444388,6.02,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444471,CHEMBL5444388,7.0,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444472,CHEMBL5444388,6.0,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444473,CHEMBL5444388,5.82,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444474,CHEMBL5444388,5.72,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444475,CHEMBL5444388,5.62,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444476,CHEMBL5444388,5.6,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444477,CHEMBL5444388,5.43,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5444478,CHEMBL5444388,5.01,IC50,=,F,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5445982,CHEMBL5445981,7.5,IC50,=,B,Mus musculus,8,1,
CHEMBL483321,CHEMBL1824,CHEMBL5446083,CHEMBL5446079,8.0,IC50,=,B,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5465750,CHEMBL5465560,,% of control,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL483321,CHEMBL1824,CHEMBL5465751,CHEMBL5465560,8.0,IC50,=,B,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5663031,CHEMBL5661975,8.0,IC50,=,B,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5663045,CHEMBL5661975,7.5,IC50,=,B,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL5663070,CHEMBL5661975,,Inhibition,>,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal;endpoint_not_allowed
CHEMBL483321,CHEMBL1824,CHEMBL5663071,CHEMBL5661975,,Inhibition,>,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal;endpoint_not_allowed
CHEMBL483321,CHEMBL1824,CHEMBL5663075,CHEMBL5661975,,Inhibition,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL483321,CHEMBL1824,CHEMBL5663076,CHEMBL5661975,,Inhibition,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL483321,CHEMBL1824,CHEMBL5663077,CHEMBL5661975,,Inhibition,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL3929002,CHEMBL1824,CHEMBL5732896,CHEMBL5726547,4.98,IC50,=,B,,8,1,
CHEMBL3929002,CHEMBL1824,CHEMBL5732896,CHEMBL5726547,,kon,=,B,,8,0,missing_pchembl;endpoint_not_allowed
CHEMBL3929002,CHEMBL1824,CHEMBL5732896,CHEMBL5726547,,k_off,=,B,,8,0,missing_pchembl;endpoint_not_allowed
CHEMBL483321,CHEMBL1824,CHEMBL6083482,CHEMBL6083185,8.0,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL554,CHEMBL1824,CHEMBL682312,CHEMBL1146682,8.05,IC50,=,B,,8,1,
CHEMBL56731,CHEMBL1824,CHEMBL769140,CHEMBL1136802,4.38,IC50,=,B,,8,0,potential_duplicate
CHEMBL55979,CHEMBL1824,CHEMBL769140,CHEMBL1136802,4.43,IC50,=,B,,8,0,potential_duplicate
CHEMBL56543,CHEMBL1824,CHEMBL769140,CHEMBL1136802,4.87,IC50,=,B,,8,0,potential_duplicate
CHEMBL56731,CHEMBL1824,CHEMBL673956,CHEMBL1132364,4.38,IC50,=,B,,8,0,potential_duplicate
CHEMBL56543,CHEMBL1824,CHEMBL673956,CHEMBL1132364,4.87,IC50,=,B,,8,0,potential_duplicate
CHEMBL54091,CHEMBL1824,CHEMBL673949,CHEMBL1132213,8.96,IC50,=,B,Homo sapiens,9,1,
CHEMBL93464,CHEMBL1824,CHEMBL676070,CHEMBL1134561,4.04,IC50,=,B,,8,1,
CHEMBL91925,CHEMBL1824,CHEMBL676070,CHEMBL1134561,5.93,IC50,=,B,,8,1,
CHEMBL56543,CHEMBL1824,CHEMBL673948,CHEMBL1125266,4.87,IC50,=,B,,8,1,
CHEMBL55979,CHEMBL1824,CHEMBL673948,CHEMBL1125266,4.43,IC50,=,B,,8,1,
