repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3
REP_01091,CHEMBL4650320,MOLNUPIRAVIR,CC(C)C(=O)OC[C@H]1O[C@@H](n2cc/c(=N\O)[nH]c2=O)[C@H](O)[C@@H]1O,HTNPEHXGEKVIHG-QCNRFFRDSA-N,329.31,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,N=c1ccn(C2CCCO2)c(=O)[nH]1,721
REP_01092,CHEMBL4650321,ORELABRUTINIB,C=CC(=O)N1CCC(c2ccc(C(N)=O)c(-c3ccc(Oc4ccccc4)cc3)n2)CC1,MZPVEMOYADUARK-UHFFFAOYSA-N,427.5,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(Oc2ccc(-c3cccc(C4CCNCC4)n3)cc2)cc1,722
REP_00081,CHEMBL1219,RABEPRAZOLE,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,YREYEVIYCVEVJK-UHFFFAOYSA-N,359.45,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,723
REP_01166,CHEMBL5095248,SEBETRALSTAT,COCc1nn(Cc2ccc(Cn3ccccc3=O)cc2)cc1C(=O)NCc1nccc(OC)c1F,KGMPDQIYDKKXRD-UHFFFAOYSA-N,491.52,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C(NCc1ccccn1)c1cnn(Cc2ccc(Cn3ccccc3=O)cc2)c1,724
REP_01095,CHEMBL4650327,GOVORESTAT,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2cscc12,ORQGHAJIWGGFJK-UHFFFAOYSA-N,425.41,3.0,,True,True,True,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,O=c1c2cscc2cnn1Cc1nc2ccccc2s1,725
REP_00079,CHEMBL1213251,CLOBENZOREX,CC(Cc1ccccc1)NCc1ccccc1Cl,LRXXRIXDSAEIOR-UHFFFAOYSA-N,259.78,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(CCNCc2ccccc2)cc1,726
REP_01097,CHEMBL4650337,ULOTARONT,CNC[C@@H]1OCCc2ccsc21,ABDDQTDRAHXHOC-QMMMGPOBSA-N,183.28,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1cc2c(s1)COCC2,727
REP_01098,CHEMBL4650347,ANAPRAZOLE SODIUM,COCCCOc1cccc(C[S+]([O-])c2nc3cc4c(cc3[n-]2)OCC4)c1C,ACVCSPONSPSXSZ-UHFFFAOYSA-N,399.49,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(C[SH+]c2nc3cc4c(cc3[n-]2)OCC4)cc1,728
REP_01099,CHEMBL4650349,CHIGLITAZAR,O=C(c1ccc(F)cc1)c1ccccc1N[C@@H](Cc1ccc(OCCn2c3ccccc3c3ccccc32)cc1)C(=O)O,QNLWMPLUWMWDMQ-YTTGMZPUSA-N,572.64,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C(c1ccccc1)c1ccccc1NCCc1ccc(OCCn2c3ccccc3c3ccccc32)cc1,729
REP_01100,CHEMBL4650354,FLORBENGUANE F18,N=C(N)NCc1cccc([18F])c1,HNPHEZIYSZIWHH-RVRFMXCPSA-N,166.19,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccccc1,730
