smiles,pAct_JNK3
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,8.92
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,7.3
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,7.98
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,6.61
CCOC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,9.11
CCOC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,8.17
CCOC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,9.14
CCOC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,7.63
CCOC(=O)CSc1nc2c(sc3ccccc32)c(=O)n1CCCN1CCOCC1,4.4
CCOC(=O)CSc1nc2ccccc2c(=O)n1CCCCCC(=O)NCc1ccco1,4.36
CCOC(=O)N1CCN(C(=O)C2CCC(Cn3c(=S)[nH]c4ccccc4c3=O)CC2)CC1,5.49
CCOC(=O)c1c(-c2ccc(OC)cc2)n[nH]c1N,4.2
CCOC(=O)c1c(-c2ccccc2)[nH]c2ccc(O)cc12,4.65
CCOC(=O)c1c(C2CC2)csc1NC(=O)Cc1ccc(OC)cc1,5.02
CCOC(=O)c1ccc(Cn2cnc3ccccc3c2=O)cc1,4.91
CCOC(=O)c1cccc2c1-c1ccccc1/C2=N/O,4.94
CCOC(=O)c1ccccc1NC(=O)COc1ccccc1,4.53
CCOC(=O)c1ccccc1NC(=O)CSc1ncc(C(=O)OCC)c(N)n1,5.18
CCOC(=O)c1cnc2ccc(Cl)cc2c1N1CCN(C)CC1,4.59
CCOC(=O)c1nn(-c2ccnc(N[C@@H]3CCCN(C(=O)N(C)C)C3)n2)cc1/C=C/c1ccccc1,5.35
CCOC(=O)c1nn(-c2ccnc(N[C@@H]3CCN(C(=O)C4CC4)C3)n2)cc1/C=C/c1ccccc1,5.22
CCOC(=O)c1nn(-c2ccnc(N[C@H]3CCCN(C(=O)C4CC4)C3)n2)cc1/C=C/c1ccccc1,6.0
CCOC(=O)c1nn(-c2ccnc(N[C@H]3CCCN(C(=O)N(C)C)C3)n2)cc1/C=C/c1ccccc1,5.73
CCOC(=O)c1nn(-c2ccnc(N[C@H]3CCN(C(=O)C4CC4)C3)n2)cc1/C=C/c1ccccc1,5.03
CCOC(=O)c1sccc1NC(=O)Cc1ccccc1,6.16
CCOc1cc(C2NC(=O)NC(C)=C2C(=O)OCc2ccccc2)ccc1O,4.46
CCOc1ccc(-c2nc(N)ncc2-c2ccccc2)c(O)c1,4.9
CCOc1ccc(C(=O)Nc2c(C(N)=O)oc3ccccc23)cc1,4.46
CCOc1ccc(CC(=O)Nc2c(C(N)=O)oc3ccccc23)cc1OCC,5.37
CCOc1ccc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc1OC,7.34
CCOc1ccc(Oc2cc(Nc3ccccc3C(N)=O)c(C(F)(F)F)cn2)cc1,6.96
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,7.85
CCOc1ncccc1C(=O)Nc1cccc(C(=O)Nc2cccc(S(=O)(=O)CCO)c2)c1,5.25
CCc1cc(=O)oc2cc(C)cc(O)c12,4.49
CCc1ccc(C(=O)Nc2cccc(C)c2N2CCC3(CC2)OCCO3)o1,6.0
CCc1n[nH]c(-c2sccc2NC(=O)Cc2ccc(OC)cc2)n1,5.3
CCn1c(C)cs/c1=N/C(=O)c1ccccc1O,4.39
CCn1cc(C2=NOC(C(=O)Nc3ccccc3C(=O)OC)C2)c(C)n1,5.72
CCn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,4.44
CCn1ncc(C2=NOC(C(=O)Nc3ccccc3C(=O)OC)C2)c1C,5.74
CN(C)C(=O)N1CCC[C@@H](Nc2nccc(-n3cc(/C=C/c4ccccc4)c(C(N)=O)n3)n2)C1,7.51
CN(C)C(=O)N1CCC[C@H](Nc2nccc(-n3cc(/C=C/c4ccccc4)c(C(N)=O)n3)n2)C1,7.72
CN(C)C(=O)c1ccc(Nc2cc(Nc3ccccc3C(N)=O)ccn2)cc1,6.49
CN(C)C(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,5.47
CN(C)CC(=O)Nc1ccc2c(c1)/C(=C1/S/C(=N/c3cccc(Cl)c3Cl)NC1=O)C(=O)N2,6.28
CN(C)CCC(=O)Nc1ccc2c(c1)/C(=C1/S/C(=N/c3cccc(Cl)c3Cl)NC1=O)C(=O)N2,6.28
CN(C)CCn1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)c2)cn1,7.47
CN(C)c1ccc2c(c1)/C(=C1/S/C(=N/c3cccc(Cl)c3Cl)NC1=O)C(=O)N2,6.09
CN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,4.54
CN1CCC(C(=O)Nc2ccc3c(c2)/C(=C2/S/C(=N/c4cccc(Cl)c4Cl)NC2=O)C(=O)N3)CC1,7.11
CN1CCC(CNC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)CC1,6.85
CN1CCC(NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)CC1,7.08
CN1CCC[C@H]1CNC(=O)c1cc(-n2cc(NC(=O)Nc3ccccc3Cl)cn2)cs1,7.07
CN1CCN(C(=O)c2ccc(CNc3n[nH]c4ccccc34)cc2)CC1,6.05
CN1CCN(CCNC(=O)c2cccc(-n3ncc4cc(Nc5c(Cl)cccc5Cl)ccc43)c2)CC1,7.3
CN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,5.92
CN1CCN(c2cccc(Nc3nccc(-n4cc(/C=C/c5cccc(Br)c5)c(C(N)=O)n4)n3)c2)CC1,5.51
CN1CCN(c2cccc(Nc3nccc(-n4cc(/C=C/c5ccccc5)c(C(N)=O)n4)n3)c2)CC1,6.8
CN1CCN(c2ccccc2NC(=O)c2ccc(Br)o2)CC1,4.99
CN1CC[C@@H](NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)C1,7.07
CN1CC[C@H](CNC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)C1,6.65
CN1CC[C@H](NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)C1,7.41
CNC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,8.32
CNC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,8.03
CNC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,8.92
CNC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,7.99
CNC(=O)C1Cc2nc(-c3ccc(F)c(C(F)(F)F)c3)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,6.16
CNC(=O)C1Cc2nc(-c3ccc(F)c(C(F)(F)F)c3)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,6.52
CNC(=O)C1Cc2nc(-c3ccc(F)c(C(F)(F)F)c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,7.51
CNC(=O)C1Cc2nc(-c3ccc(F)c(C(F)(F)F)c3)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,6.22
CNC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,7.03
CNC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,6.75
CNC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,8.97
CNC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,9.25
CNC(=O)c1cc(-n2cc(NC(=O)Nc3ccccc3Cl)cn2)cs1,6.93
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(C)nc32)cs1,7.92
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(F)cc32)cs1,8.7
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)cnc32)cs1,8.7
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)ncc32)cs1,8.7
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4OC)c(F)cc32)cs1,8.3
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,8.3
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(OC)cc32)cs1,7.7
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)cnc32)cs1,7.62
CNC(=O)c1cc(-n2ncc3nc(Nc4ccccc4Cl)ncc32)cs1,6.0
CNC(=O)c1ccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)cc1,6.08
CNC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,7.27
CNC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)n1,6.16
CNC(=O)c1ccccc1Nc1cc(Nc2cc(OC)c(OC)c(OC)c2)ncc1C(F)(F)F,6.14
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(-n3ccnn3)cc2)ncc1C(F)(F)F,6.66
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(-n3nc(C)nc3C)cc2)ncc1C(F)(F)F,6.43
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(C(=O)N(C)C)cc2)ncc1C(F)(F)F,6.49
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)c(C)c2)ncc1C(F)(F)F,6.76
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2)ncc1C(F)(F)F,7.21
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2F)ncc1C(F)(F)F,6.17
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Br,7.17
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C#N,6.29
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C(F)(F)F,6.8
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,7.08
CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1F,6.5
CNC(=O)c1ccccc1Nc1cc(Nc2ccc3c(c2)OCO3)ncc1C(F)(F)F,6.49
CNC(=O)c1ccccc1Nc1cc(Oc2ccc(OC)cc2)ncc1Cl,6.77
CNC(=O)c1ccccc1Nc1ccnc(Nc2ccc(N3CCOCC3)cc2)c1,5.51
CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,7.92
CNC(=O)c1ccnc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,6.2
