pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
PPARG/PPARA,summary_min,32,31/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.9,0.00948683,0.713264
PPARA/PPARD,dual_vs_A_only,32,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.052,0.00702111,0.49939
PPARA/PPARD,dual_vs_B_only,32,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.035,0.00581163,0.500677
PPARA/PPARD,dual_vs_neither,32,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.06,0.00750999,0.501674
PPARA/PPARD,summary_min,32,32/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.114,0.0100501,0.459535
PPARA/PPARD,dual_vs_A_only,32,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.094,0.00922843,0.547325
PPARA/PPARD,dual_vs_B_only,32,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.106,0.00973468,0.549916
PPARA/PPARD,dual_vs_neither,32,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.113,0.0100115,0.554937
PPARA/PPARD,summary_min,32,32/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.027,0.00512552,0.508291
PPARA/PPARD,dual_vs_A_only,32,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.284,0.0142599,0.59874
PPARA/PPARD,dual_vs_B_only,32,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.286,0.01429,0.600316
PPARA/PPARD,dual_vs_neither,32,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.194,0.0125046,0.599065
PPARA/PPARD,summary_min,32,32/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.069,0.00801492,0.560335
PPARA/PPARD,dual_vs_A_only,32,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.58,0.0156077,0.652236
PPARA/PPARD,dual_vs_B_only,32,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.554,0.0157189,0.646672
PPARA/PPARD,dual_vs_neither,32,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.361,0.0151881,0.649567
PPARA/PPARD,summary_min,32,32/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.26,0.0138708,0.609576
PPARA/PPARD,dual_vs_A_only,32,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.833,0.0117945,0.700907
PPARA/PPARD,dual_vs_B_only,32,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.815,0.012279,0.700251
PPARA/PPARD,dual_vs_neither,32,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.62,0.0153493,0.701109
PPARA/PPARD,summary_min,32,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.673,0.0148348,0.665623
PPARA/PPARD,dual_vs_A_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.961,0.00612201,0.751299
PPARA/PPARD,dual_vs_B_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.969,0.00548078,0.749655
PPARA/PPARD,dual_vs_neither,32,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.828,0.0119338,0.750563
PPARA/PPARD,summary_min,32,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.907,0.00918428,0.713203
