id,rtmscore,target,ligand,vina_mode,vina_score
EH40_31_mode2-271,21.569505325149432,3POZ,EH40_31,2,-9.97
EH40_31_mode3-272,17.701997333948867,3POZ,EH40_31,3,-9.875
EH40_31_mode4-273,23.56000288487688,3POZ,EH40_31,4,-9.864
EH40_31_mode5-274,14.18039162897247,3POZ,EH40_31,5,-9.67
EH40_31_mode6-275,24.76198408875341,3POZ,EH40_31,6,-9.387
EH40_31_mode7-276,48.80640684616608,3POZ,EH40_31,7,-9.197
EH40_31_mode8-277,17.562879874232696,3POZ,EH40_31,8,-9.148
EH40_31_mode9-278,24.12671599176154,3POZ,EH40_31,9,-9.095
EH40_32_mode1-279,13.2471701753409,3POZ,EH40_32,1,-9.136
EH40_32_mode2-280,23.744350260897544,3POZ,EH40_32,2,-9.091
EH40_32_mode3-281,19.223645483608976,3POZ,EH40_32,3,-9.059
EH40_32_mode4-282,18.74013493145674,3POZ,EH40_32,4,-8.955
EH40_32_mode5-283,13.667746016346182,3POZ,EH40_32,5,-8.831
EH40_32_mode6-284,6.344741449768135,3POZ,EH40_32,6,-8.7
EH40_32_mode7-285,18.11973737742365,3POZ,EH40_32,7,-8.653
EH40_32_mode8-286,41.07795817266784,3POZ,EH40_32,8,-8.6
EH40_32_mode9-287,31.471224354790927,3POZ,EH40_32,9,-8.579
EH40_33_mode1-288,32.0945923435701,3POZ,EH40_33,1,-10.698
EH40_33_mode2-289,41.538126695107394,3POZ,EH40_33,2,-10.679
EH40_33_mode3-290,44.194194462844806,3POZ,EH40_33,3,-10.665
EH40_33_mode4-291,20.95030022587063,3POZ,EH40_33,4,-10.594
EH40_33_mode5-292,30.613298854782784,3POZ,EH40_33,5,-10.449
EH40_33_mode6-293,24.061881788794334,3POZ,EH40_33,6,-10.389
EH40_33_mode7-294,26.926496459576235,3POZ,EH40_33,7,-10.077
EH40_33_mode8-295,25.695959507711787,3POZ,EH40_33,8,-9.939
EH40_33_mode9-296,34.38666057846412,3POZ,EH40_33,9,-9.812
EH40_34_mode1-297,37.92076316501255,3POZ,EH40_34,1,-9.615
EH40_34_mode2-298,18.320297847313768,3POZ,EH40_34,2,-9.568
EH40_34_mode3-299,25.50058981035927,3POZ,EH40_34,3,-9.501
EH40_34_mode4-300,20.176620819797243,3POZ,EH40_34,4,-9.472
EH40_34_mode5-301,17.96664467268005,3POZ,EH40_34,5,-9.312
EH40_34_mode6-302,57.53323953790782,3POZ,EH40_34,6,-9.167
EH40_34_mode7-303,24.5188757183709,3POZ,EH40_34,7,-9.152
EH40_34_mode8-304,23.114914230594543,3POZ,EH40_34,8,-8.836
EH40_34_mode9-305,19.4001302969515,3POZ,EH40_34,9,-8.835
EH40_35_mode1-306,18.112984093939428,3POZ,EH40_35,1,-10.142
EH40_35_mode2-307,25.03335295043093,3POZ,EH40_35,2,-10.053
EH40_35_mode3-308,11.250388439473296,3POZ,EH40_35,3,-9.88
EH40_35_mode4-309,29.741932280876867,3POZ,EH40_35,4,-9.828
EH40_35_mode5-310,13.782387516555112,3POZ,EH40_35,5,-9.741
EH40_35_mode6-311,13.503924443842546,3POZ,EH40_35,6,-9.709
EH40_35_mode7-312,22.031449662490587,3POZ,EH40_35,7,-9.638
EH40_35_mode8-313,31.280293863150813,3POZ,EH40_35,8,-9.531
EH40_35_mode9-314,16.29053062923913,3POZ,EH40_35,9,-9.511
