target,ligand_id,seed,exhaustiveness,status,reason,n_modes_written,log_path,pose_dir,vina_mode1
4L23,PM48_33,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_33.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_33,-7.671
4L23,PM48_34,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_34.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_34,-8.616
4L23,PM48_35,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_35.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_35,-9.383
4L23,PM48_36,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_36.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_36,-8.272
4L23,PM48_37,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_37.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_37,-7.817
4L23,PM48_38,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_38.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_38,-8.233
4L23,PM48_39,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_39.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_39,-8.107
4L23,PM48_40,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_40.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_40,-7.296
4L23,PM48_41,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_41.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_41,-8.3
4L23,PM48_42,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_42.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_42,-7.815
4L23,PM48_43,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_43.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_43,-9.208
4L23,PM48_44,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_44.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_44,-7.881
4L23,PM48_45,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_45.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_45,-9.597
4L23,PM48_46,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_46.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_46,-8.595
4L23,PM48_47,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_47.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_47,-8.562
4L23,PM48_48,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_48.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_48,-8.174
