ligand_id,smiles,fragment_status,embed_status,mmff_status,meeko_status,pdbqt_status,n_frags,reason
EH120_057,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_058,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN1CCOCC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_059,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,single,etkdgv3_ok,ok,ok,ok,1,
EH120_060,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_061,CS(=O)(=O)Nc1ccc(-c2cc3c(Nc4ccc(Oc5cccc(C(F)(F)F)c5)c(Cl)c4)ncnc3s2)cc1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_062,O=C(Nc1ccc(-c2cc3c(Nc4ccc(Oc5cccc(C(F)(F)F)c5)c(Cl)c4)ncnc3s2)cc1)NC1CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_063,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1csc2ccc(Cl)cc12,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_064,COc1cc2ncnc(NCCOc3ccccc3F)c2cc1OC,single,etkdgv3_ok,ok,ok,ok,1,
EH120_065,C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_066,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_067,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_068,NP(=O)(OCCCC(=O)Oc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1)N(CCCl)CCCl,single,etkdgv3_ok,not_converged,ok,ok,1,
