molecule_chembl_id,canonical_smiles,pActivity,n_measurements
CHEMBL1498547,Cn1nnnc1SCc1ccc(C(=O)Nc2nccs2)cc1,4.25,1
CHEMBL1498885,COc1cc(C(=O)NCc2cn3ccccc3n2)cc(OC)c1OC,5.1,1
CHEMBL1499974,CCOC(=O)C1CCN(C(=O)CCCCn2c(=O)[nH]c3ccccc3c2=O)CC1,4.54,1
CHEMBL1500025,COc1cccc(C2=NOC(C(=O)Nc3ccc(C(C)=O)cc3)C2)c1,5.1,1
CHEMBL1501724,CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)N1Cc1ccco1,4.64,1
CHEMBL1502894,CCc1ccc(-n2c(SCC(=O)Nc3cc(C)[nH]n3)nc3nncc-3c2O)cc1,5.39,1
CHEMBL1505364,Br.CC(=O)c1sc(Nc2ccccn2)nc1C,4.39,1
CHEMBL1511773,O=C(CCn1cnc2ccccc2c1=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,4.42,1
CHEMBL1517409,COC(=O)c1cc(Br)c(=O)n(-c2nccs2)c1,4.11,1
CHEMBL1518163,O=C(COC(=O)c1[nH]nc2ccccc12)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,5.17,1
CHEMBL1519409,COC(=O)c1ccccc1NC(=O)COC(=O)c1ccco1,4.25,1
CHEMBL1520065,COC(=O)c1sccc1NC(=O)c1ccc(Br)o1,4.7,1
