pair,ligand_id,molecule_chembl_id,activity_source_kind,activity_source_file,activity_status,activity_eligible,analysis_set,complete_case,construction_class,primary_class_theta6,recomputed_theta6,class_match,pA,pB,historical_pA,historical_pB,n_act_A,n_act_B,in_primary
EGFR/HER2,EH40_07,CHEMBL257816,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,7.89,7.57,7.89,7.57,1,1,1
EGFR/HER2,EH40_08,CHEMBL193681,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,7.4,7.52,7.4,7.52,1,3,1
EGFR/HER2,EH40_09,CHEMBL175556,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,7.7,7.23,7.7,7.23,1,1,1
EGFR/HER2,EH40_10,CHEMBL604094,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,7.08,7.36,7.08,7.36,1,2,1
EGFR/HER2,EH40_11,CHEMBL3977326,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,7.68,6.91,7.68,6.91,1,1,1
EGFR/HER2,EH40_12,CHEMBL402011,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,6.75,8.1,6.75,8.1,1,2,1
EGFR/HER2,EH40_13,CHEMBL3680374,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,8.01,6.61,8.01,6.61,2,1,1
EGFR/HER2,EH40_14,CHEMBL5204650,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,6.38,6.92,6.38,6.92,1,1,1
EGFR/HER2,EH40_15,CHEMBL1645469,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,6.18,7.7,6.18,7.7,1,1,1
EGFR/HER2,EH40_16,CHEMBL2325101,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.3,5.99,7.3,5.99,1,1,1
