smiles,mol_id,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)CCO4)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,7.1431675,7.52067,7.874864,7.874864,-0.7316966,3.847038703093359,0.45273945862502063,0.6923425427075288
CN(CCO)c1ccc(C(=O)NCc2cn(-c3ccccc3)c3cc(Cl)ccc3c2=O)cn1,,7.5687346,6.619974,6.3532467,7.5687346,0.9487605,2.5414899815683327,0.43928817427881783,0.6922541602491257
CCNC(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,,6.3598576,7.2221007,6.5672746,7.2221007,-0.8622432,2.497270792525912,0.6220115247951175,0.6920430008309141
CC(C)Oc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,,6.587256,6.217915,5.2046466,6.587256,0.3693409,2.3937211378153087,0.7738136661465506,0.6919334386831273
CC(C)(C)Nc1ncc(C(N)=O)c(N[C@@H]2CCC[C@H](O)C2)n1,,6.5244274,7.131152,5.2091837,7.131152,-0.60672474,3.3422304791062896,0.6702372147209863,0.6907049177780733
CC(=O)N1CCN(c2cccc3c2ccn3-c2ccnc(N[C@H]3CC[C@H](CS(C)(=O)=O)CC3)n2)CC1,,7.2909136,7.229623,6.015419,7.2909136,0.06129074,2.8515091632347715,0.5438536111846516,0.6906195813339527
CN(C)C(=O)N1CCC[C@H](Nc2nccc(-n3cc(/C=C/c4ccccc4)c(C(N)=O)n3)n2)C1,,6.260269,7.248785,7.5083904,7.5083904,-1.2481213,3.2882156462924144,0.5827645166366564,0.6905362578049589
CN(C)C(=O)N1CCC[C@@H](Nc2nccc(-n3cc(/C=C/c4ccccc4)c(C(N)=O)n3)n2)C1,,6.260269,7.248785,7.5083904,7.5083904,-1.2481213,3.2882156462924144,0.5827645166366564,0.6905362578049589
CC(C)c1n[nH]c(-c2c(Cl)csc2NC(=O)CN2C(=O)CCc3ncccc32)n1,,5.2239013,6.04242,7.538388,7.538388,-2.3144865,3.1033947526656913,0.6428400843310623,0.6905039160650194
CN1CCN(C(=O)N2CCC(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)CC2)CC1,,6.2170386,7.184154,6.6076503,7.184154,-0.9671154,2.6080183180783187,0.6338178607213236,0.6890674402864185
CCOC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,,6.6613727,7.4787974,7.9896674,7.9896674,-1.3282948,3.745429499062766,0.43314603788237427,0.6885272103687452
CCOC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,,6.6613727,7.4787974,7.9896674,7.9896674,-1.3282948,3.745429499062766,0.43314603788237427,0.6885272103687452
CCNC(=O)N1CCC(Nc2ncc(C#N)c(-c3c[nH]c4cc(F)ccc34)n2)CC1,,6.627692,7.1436734,6.5714726,7.1436734,-0.5159812,2.707964193739979,0.6150446298671801,0.6882467054723461
CCNc1ncc2nc(Nc3ccccc3F)n(C3CCCC3)c2n1,,6.521756,6.7181907,5.5492535,6.7181907,-0.1964345,2.490980424796243,0.7263897016457986,0.6876949655146385
C#C/C=C/c1c(N)cc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)nc1OCC,,6.8255982,6.598917,5.735316,6.8255982,0.22668123,2.8363414107965284,0.6894210700799915,0.6873126767009408
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,,6.191579,6.5389366,5.2238836,6.5389366,-0.34735775,2.307698295000172,0.789126650192683,0.6872635438887668
CNCC(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,,6.3943768,7.155899,6.4515944,7.155899,-0.7615223,2.5515750660301855,0.614875981862534,0.686949544665452
CC(=O)N[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1,,6.535779,6.615332,5.5720954,6.615332,-0.07955313,2.455859448977831,0.7466882590072667,0.686659009265563
CNC(=O)CN1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,,6.208414,7.1838517,6.415554,7.1838517,-0.97543764,2.4789528438079618,0.614875981862534,0.6864237236404513
CNc1ncc2nc(Nc3ccccc3F)n(C3CCCC3)c2n1,,6.4230943,6.5840473,5.6345534,6.5840473,-0.16095304,2.4937020347592505,0.7616978446215363,0.6858715651286863
CCOc1nc(NC(=O)Cc2ccc(OC)cc2)cc(N)c1C#N,,5.7228913,6.4242477,5.7307687,6.4242477,-0.7013564,2.269048188605403,0.841056523898411,0.6846978186478702
C/C(=N/Cc1cccnc1)C1=C(O)c2ccccc2C1=O,,6.2054768,5.4876213,4.470517,6.2054768,0.71785545,2.509352081970631,0.876801491536629,0.6846501507481175
CCOc1nc(NC(=O)Cc2cccc(OC)c2)cc(N)c1C#N,,5.689989,6.4379582,5.7412066,6.4379582,-0.74796915,2.3180697729911675,0.841056523898411,0.6844681466272547
CCOC(=O)c1cnc2ccc(Cl)cc2c1N1CCN(C)CC1,,6.34541,6.0749183,4.695052,6.34541,0.2704916,2.1492403646898097,0.8082099610652174,0.6843282794764847
CCNC(=O)N1CCC[C@@H](Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)C1,,6.39988,7.147824,6.826751,7.147824,-0.7479439,2.960038820710226,0.6220115247951175,0.6839304253197314
CCNC(=O)N1CCC[C@H](Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)C1,,6.39988,7.147824,6.826751,7.147824,-0.7479439,2.960038820710226,0.6220115247951175,0.6839304253197314
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C4CCOCC4)c3n2)CC1,,6.4052105,6.9022636,6.5724854,6.9022636,-0.49705315,2.7357562532998916,0.6751828988252505,0.6833816749316362
CCCOc1cccc2c1cnn2-c1ccnc(N[C@H]2CC[C@H](O)CC2)n1,,6.6595483,6.7219677,5.970955,6.7219677,-0.062419415,2.5851423201632393,0.6951478287634016,0.6827795901332929
CCOc1nc(NC(=O)Cc2ccccc2OC)cc(N)c1C#N,,5.6369753,6.4240036,5.6631985,6.4240036,-0.7870283,2.3316534698912825,0.841056523898411,0.6827695974657181
CN(C)C1CCN(c2ccc(C(=O)NCc3cn(-c4ccccc4)c4cc(Cl)ccc4c3=O)cn2)CC1,,7.5254917,6.591979,6.0327163,7.5254917,0.9335127,2.5914435338794934,0.4092422692833573,0.6827184385313043
CCN1CCN(C(=O)[C@H]2CC[C@H](Nc3nccc(-n4ccc5c(N6CCC(S(C)(=O)=O)CC6)cccc54)n3)CC2)CC1,,7.4834833,7.2332144,7.055692,7.4834833,0.25026894,3.0247537843476877,0.4437114979015709,0.6823385937528286
CCOc1nc(NC(=O)Cc2ccc(C)cc2)cc(N)c1C#N,,5.729397,6.229427,5.5401096,6.229427,-0.50003004,2.2809813595122943,0.8828539081675043,0.6823203976839164
CC(O)CNc1nccc(-n2c(CC#N)cnc2-c2ccc3c(c2)OCO3)n1,,6.8951135,6.850559,6.7671113,6.8951135,0.044554234,3.390864461735868,0.6678068927325166,0.6823106767010563
CCOc1nc(NC(=O)Cc2cccc(C)c2)cc(N)c1C#N,,5.698576,6.2430973,5.4123154,6.2430973,-0.54452133,2.333302513358449,0.8828539081675043,0.6820867478939594
CCOc1nc(C(=O)NCc2ccccc2S(N)(=O)=O)cc(N)c1C#N,,6.781756,6.736613,5.872067,6.781756,0.045143127,2.520830139517832,0.6623410762515893,0.6819828285508793
CNC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,,7.0125046,7.5027432,6.8905096,7.5027432,-0.49023867,3.8297286132818815,0.5106987800940721,0.6816809169799593
