pair,seed,ligand,class,pocket,pdb,status,vina_mode1,reason
AChE/BChE,20260813,AB_001,dual,B,4BDS,timeout_skipped,,>480
AChE/BChE,20260811,AB_002,dual,A,4EY7,ok,-12.107,elapsed_s=292.4
AChE/BChE,20260812,AB_002,dual,A,4EY7,ok,-11.391,elapsed_s=300.6
AChE/BChE,20260812,AB_002,dual,B,4BDS,ok,-10.383,elapsed_s=425.9
AChE/BChE,20260811,AB_002,dual,B,4BDS,ok,-10.755,elapsed_s=460.3
AChE/BChE,20260814,AB_001,dual,B,4BDS,timeout_skipped,,>480
AChE/BChE,20260814,AB_001,dual,A,4EY7,timeout_skipped,,>480
AChE/BChE,20260811,AB_003,dual,B,4BDS,ok,-8.004,elapsed_s=9.5
AChE/BChE,20260811,AB_003,dual,A,4EY7,ok,-8.572,elapsed_s=10.5
AChE/BChE,20260813,AB_002,dual,A,4EY7,ok,-12.019,elapsed_s=254.0
AChE/BChE,20260812,AB_003,dual,B,4BDS,ok,-8.008,elapsed_s=14.3
AChE/BChE,20260812,AB_003,dual,A,4EY7,ok,-8.881,elapsed_s=15.4
AChE/BChE,20260813,AB_003,dual,A,4EY7,ok,-8.849,elapsed_s=15.1
AChE/BChE,20260813,AB_003,dual,B,4BDS,ok,-8.01,elapsed_s=8.5
AChE/BChE,20260814,AB_003,dual,A,4EY7,ok,-8.561,elapsed_s=8.9
AChE/BChE,20260814,AB_003,dual,B,4BDS,ok,-8.004,elapsed_s=8.4
AChE/BChE,20260814,AB_002,dual,A,4EY7,ok,-12.018,elapsed_s=285.2
AChE/BChE,20260813,AB_002,dual,B,4BDS,ok,-9.848,elapsed_s=421.6
AChE/BChE,20260811,AB_004,dual,A,4EY7,ok,-13.017,elapsed_s=205.5
AChE/BChE,20260812,AB_004,dual,A,4EY7,ok,-12.974,elapsed_s=203.4
AChE/BChE,20260813,AB_004,dual,A,4EY7,ok,-12.936,elapsed_s=160.5
AChE/BChE,20260814,AB_002,dual,B,4BDS,ok,-9.846,elapsed_s=429.7
AChE/BChE,20260811,AB_004,dual,B,4BDS,ok,-11.631,elapsed_s=334.7
AChE/BChE,20260814,AB_004,dual,A,4EY7,ok,-12.963,elapsed_s=161.1
AChE/BChE,20260811,AB_005,dual,A,4EY7,ok,-12.353,elapsed_s=106.5
AChE/BChE,20260812,AB_005,dual,A,4EY7,ok,-12.4,elapsed_s=96.3
AChE/BChE,20260812,AB_004,dual,B,4BDS,ok,-11.622,elapsed_s=326.8
AChE/BChE,20260811,AB_005,dual,B,4BDS,ok,-10.562,elapsed_s=171.8
AChE/BChE,20260813,AB_004,dual,B,4BDS,ok,-11.705,elapsed_s=335.7
AChE/BChE,20260813,AB_005,dual,A,4EY7,ok,-12.544,elapsed_s=86.9
AChE/BChE,20260812,AB_005,dual,B,4BDS,ok,-10.503,elapsed_s=155.9
AChE/BChE,20260814,AB_005,dual,A,4EY7,ok,-12.5,elapsed_s=84.8
AChE/BChE,20260813,AB_005,dual,B,4BDS,ok,-10.523,elapsed_s=152.4
AChE/BChE,20260814,AB_004,dual,B,4BDS,ok,-11.508,elapsed_s=330.2
AChE/BChE,20260814,AB_005,dual,B,4BDS,ok,-10.482,elapsed_s=149.9
AChE/BChE,20260811,AB_006,dual,A,4EY7,ok,-11.399,elapsed_s=258.1
AChE/BChE,20260812,AB_006,dual,A,4EY7,ok,-10.927,elapsed_s=253.9
AChE/BChE,20260811,AB_006,dual,B,4BDS,ok,-9.998,elapsed_s=293.7
AChE/BChE,20260813,AB_006,dual,A,4EY7,ok,-11.044,elapsed_s=257.5
AChE/BChE,20260812,AB_006,dual,B,4BDS,ok,-10.025,elapsed_s=282.8
AChE/BChE,20260813,AB_006,dual,B,4BDS,ok,-10.046,elapsed_s=278.3
AChE/BChE,20260814,AB_006,dual,A,4EY7,ok,-10.263,elapsed_s=238.8
AChE/BChE,20260814,AB_006,dual,B,4BDS,ok,-10.259,elapsed_s=239.7
AChE/BChE,20260811,AB_007,dual,A,4EY7,ok,-11.445,elapsed_s=205.1
AChE/BChE,20260812,AB_007,dual,A,4EY7,ok,-11.777,elapsed_s=203.9
AChE/BChE,20260811,AB_007,dual,B,4BDS,ok,-9.559,elapsed_s=295.9
AChE/BChE,20260811,AB_008,dual,A,4EY7,ok,-9.351,elapsed_s=9.4
AChE/BChE,20260811,AB_008,dual,B,4BDS,ok,-8.12,elapsed_s=12.1
AChE/BChE,20260812,AB_008,dual,A,4EY7,ok,-9.345,elapsed_s=8.9
AChE/BChE,20260812,AB_008,dual,B,4BDS,ok,-8.107,elapsed_s=8.4
AChE/BChE,20260813,AB_007,dual,A,4EY7,ok,-11.448,elapsed_s=193.5
AChE/BChE,20260813,AB_008,dual,A,4EY7,ok,-9.32,elapsed_s=12.6
AChE/BChE,20260813,AB_008,dual,B,4BDS,ok,-8.092,elapsed_s=11.9
AChE/BChE,20260814,AB_008,dual,B,4BDS,ok,-8.121,elapsed_s=8.5
AChE/BChE,20260814,AB_008,dual,A,4EY7,ok,-9.362,elapsed_s=9.0
AChE/BChE,20260812,AB_007,dual,B,4BDS,ok,-9.361,elapsed_s=320.7
AChE/BChE,20260814,AB_007,dual,A,4EY7,ok,-11.637,elapsed_s=233.4
AChE/BChE,20260813,AB_007,dual,B,4BDS,ok,-8.602,elapsed_s=328.8
AChE/BChE,20260811,AB_009,dual,A,4EY7,ok,-10.904,elapsed_s=155.8
AChE/BChE,20260812,AB_009,dual,A,4EY7,ok,-10.804,elapsed_s=136.8
AChE/BChE,20260814,AB_007,dual,B,4BDS,ok,-9.27,elapsed_s=332.8
AChE/BChE,20260811,AB_009,dual,B,4BDS,ok,-9.105,elapsed_s=189.5
AChE/BChE,20260812,AB_009,dual,B,4BDS,ok,-9.011,elapsed_s=199.9
AChE/BChE,20260811,AB_010,dual,A,4EY7,ok,-9.62,elapsed_s=107.3
AChE/BChE,20260813,AB_009,dual,A,4EY7,ok,-11.101,elapsed_s=151.2
AChE/BChE,20260814,AB_009,dual,A,4EY7,ok,-11.005,elapsed_s=156.0
AChE/BChE,20260813,AB_009,dual,B,4BDS,ok,-9.48,elapsed_s=204.1
AChE/BChE,20260814,AB_009,dual,B,4BDS,ok,-9.057,elapsed_s=194.4
AChE/BChE,20260811,AB_010,dual,B,4BDS,ok,-9.302,elapsed_s=148.6
AChE/BChE,20260812,AB_010,dual,A,4EY7,ok,-9.84,elapsed_s=116.6
AChE/BChE,20260813,AB_010,dual,A,4EY7,ok,-9.577,elapsed_s=113.5
AChE/BChE,20260812,AB_010,dual,B,4BDS,ok,-9.249,elapsed_s=169.1
AChE/BChE,20260814,AB_010,dual,A,4EY7,ok,-9.634,elapsed_s=104.0
AChE/BChE,20260813,AB_010,dual,B,4BDS,ok,-9.559,elapsed_s=174.6
AChE/BChE,20260814,AB_010,dual,B,4BDS,ok,-9.03,elapsed_s=180.8
AChE/BChE,20260811,AB_011,dual,A,4EY7,ok,-10.644,elapsed_s=273.8
AChE/BChE,20260812,AB_011,dual,A,4EY7,ok,-10.486,elapsed_s=325.3
AChE/BChE,20260811,AB_011,dual,B,4BDS,ok,-10.802,elapsed_s=373.2
AChE/BChE,20260811,AB_012,dual,A,4EY7,ok,-9.646,elapsed_s=25.9
AChE/BChE,20260812,AB_011,dual,B,4BDS,ok,-10.744,elapsed_s=370.6
AChE/BChE,20260811,AB_012,dual,B,4BDS,ok,-8.347,elapsed_s=27.3
AChE/BChE,20260813,AB_011,dual,A,4EY7,ok,-9.995,elapsed_s=336.8
AChE/BChE,20260812,AB_012,dual,A,4EY7,ok,-9.653,elapsed_s=28.7
AChE/BChE,20260812,AB_012,dual,B,4BDS,ok,-8.129,elapsed_s=23.2
AChE/BChE,20260813,AB_012,dual,A,4EY7,ok,-9.694,elapsed_s=28.4
AChE/BChE,20260813,AB_012,dual,B,4BDS,ok,-8.323,elapsed_s=26.2
AChE/BChE,20260814,AB_012,dual,A,4EY7,ok,-9.593,elapsed_s=30.4
AChE/BChE,20260814,AB_012,dual,B,4BDS,ok,-8.402,elapsed_s=25.4
AChE/BChE,20260811,AB_013,dual,A,4EY7,ok,-9.255,elapsed_s=36.6
AChE/BChE,20260811,AB_013,dual,B,4BDS,ok,-9.209,elapsed_s=31.9
AChE/BChE,20260813,AB_011,dual,B,4BDS,ok,-10.768,elapsed_s=364.5
AChE/BChE,20260812,AB_013,dual,A,4EY7,ok,-9.223,elapsed_s=29.3
AChE/BChE,20260812,AB_013,dual,B,4BDS,ok,-9.199,elapsed_s=25.8
AChE/BChE,20260813,AB_013,dual,A,4EY7,ok,-9.234,elapsed_s=25.2
AChE/BChE,20260813,AB_013,dual,B,4BDS,ok,-9.195,elapsed_s=24.5
AChE/BChE,20260814,AB_013,dual,A,4EY7,ok,-9.206,elapsed_s=24.5
AChE/BChE,20260814,AB_011,dual,A,4EY7,ok,-11.135,elapsed_s=296.1
AChE/BChE,20260814,AB_013,dual,B,4BDS,ok,-9.22,elapsed_s=23.3
AChE/BChE,20260812,AB_014,dual,A,4EY7,ok,-11.295,elapsed_s=167.2
AChE/BChE,20260814,AB_011,dual,B,4BDS,ok,-10.709,elapsed_s=355.0
AChE/BChE,20260813,AB_014,dual,A,4EY7,ok,-11.456,elapsed_s=171.1
AChE/BChE,20260811,AB_014,dual,A,4EY7,ok,-11.534,elapsed_s=193.0
AChE/BChE,20260811,AB_014,dual,B,4BDS,ok,-10.298,elapsed_s=269.9
AChE/BChE,20260812,AB_014,dual,B,4BDS,ok,-10.298,elapsed_s=275.5
AChE/BChE,20260811,AB_015,dual,A,4EY7,ok,-11.137,elapsed_s=99.8
AChE/BChE,20260814,AB_014,dual,A,4EY7,ok,-11.464,elapsed_s=168.0
AChE/BChE,20260812,AB_015,dual,A,4EY7,ok,-11.18,elapsed_s=123.4
