pair,metric,kind,independent,canonical,abs_delta,status
PPARA/PPARD,d_vs_neither_mean,point,0.5647321429,0.5647,0.0000321429,MATCH
PPARA/PPARD,ef_dual_10pct,point,1.5625000000,1.5625,0.0000000000,MATCH
PPARA/PPARD,top_k,point,11.0000000000,11,0.0000000000,MATCH
PPARA/PPARD,top_dual,point,5.0000000000,5,0.0000000000,MATCH
PPARA/PPARD,and_dual,point,16.0000000000,16,0.0000000000,MATCH
PPARA/PPARD,matched_minus_mismatched,point,0.0117187500,0.0117,0.0000187500,MATCH
PPARA/PPARD,mm_ci_lo,ci,-0.0859375000,-0.0859,0.0000375000,MATCH
PPARA/PPARD,mm_ci_hi,ci,0.1416015625,0.1416,0.0000015625,MATCH
PPARA/PPARD,fixed_delta_pocketA,point,0.0380859375,0.0381,0.0000140625,MATCH
PPARA/PPARD,fixed_delta_pocketA_ci_lo,ci,-0.1390938895,-0.1391,0.0000061105,MATCH
PPARA/PPARD,fixed_delta_pocketA_ci_hi,ci,0.2233956473,0.2234,0.0000043527,MATCH
PPARA/PPARD,fixed_delta_pocketB,point,0.0186941964,0.0187,0.0000058036,MATCH
PPARA/PPARD,n_dual,point,32.0000000000,32,0.0000000000,MATCH
PPARA/PPARD,n_A_only,point,32.0000000000,32,0.0000000000,MATCH
PPARA/PPARD,n_B_only,point,32.0000000000,32,0.0000000000,MATCH
