figure,panel,pair,metric,displayed_value,raw_value,source_file,source_row,matched_source_value,status
Figure S1,A,PPARA/PPARD,best_descriptor_auroc,0.564,0.5635,results/canonical/descriptor_baselines.csv,PPARA/PPARD,0.5635,MATCH
Figure S1,A,PPARA/PPARD,best_descriptor_name,clogp,clogp,results/canonical/descriptor_baselines.csv,PPARA/PPARD,,SOURCE_EXISTS
Figure S1,B,AChE/BChE,n_dual_A_B,27/26/28,"27,26,28",results/canonical/current_score_master.csv,AChE/BChE TPSA from SMILES,,SOURCE_EXISTS
Figure S3,A,EGFR 3POZ,top1_rmsd_A,1.019,1.019,results/canonical/cognate_rmsd.csv,3POZ,1.019,MATCH
Figure S3,A,EGFR 3POZ,lowest_saved_rmsd_A,1.019,1.019,results/canonical/cognate_rmsd.csv,3POZ,1.019,MATCH
Figure S3,A,HER2 3RCD,top1_rmsd_A,1.947,1.947,results/canonical/cognate_rmsd.csv,3RCD,1.947,MATCH
Figure S3,A,HER2 3RCD,lowest_saved_rmsd_A,1.947,1.947,results/canonical/cognate_rmsd.csv,3RCD,1.947,MATCH
Figure S3,A,JAK1 6N7A,top1_rmsd_A,0.459,0.459,results/canonical/cognate_rmsd.csv,6N7A,0.459,MATCH
Figure S3,A,JAK1 6N7A,lowest_saved_rmsd_A,0.459,0.459,results/canonical/cognate_rmsd.csv,6N7A,0.459,MATCH
Figure S3,A,JAK2 8BXH,top1_rmsd_A,10.596,10.596,results/canonical/cognate_rmsd.csv,8BXH,10.596,MATCH
Figure S3,A,JAK2 8BXH,lowest_saved_rmsd_A,0.807,0.807,results/canonical/cognate_rmsd.csv,8BXH,0.807,MATCH
Figure S3,A,TYK2 3LXP,top1_rmsd_A,0.196,0.196,results/canonical/cognate_rmsd.csv,3LXP,0.196,MATCH
Figure S3,A,TYK2 3LXP,lowest_saved_rmsd_A,0.196,0.196,results/canonical/cognate_rmsd.csv,3LXP,0.196,MATCH
Figure S3,A,PIK3CA 4L23,top1_rmsd_A,0.624,0.624,results/canonical/cognate_rmsd.csv,4L23,0.624,MATCH
Figure S3,A,PIK3CA 4L23,lowest_saved_rmsd_A,0.624,0.624,results/canonical/cognate_rmsd.csv,4L23,0.624,MATCH
Figure S3,A,mTOR 4JT6,top1_rmsd_A,7.118,7.118,results/canonical/cognate_rmsd.csv,4JT6,7.118,MATCH
Figure S3,A,mTOR 4JT6,lowest_saved_rmsd_A,0.445,0.445,results/canonical/cognate_rmsd.csv,4JT6,0.445,MATCH
Figure S3,A,AChE 4EY7,top1_rmsd_A,0.339,0.339,results/canonical/cognate_rmsd.csv,4EY7,0.339,MATCH
Figure S3,A,AChE 4EY7,lowest_saved_rmsd_A,0.339,0.339,results/canonical/cognate_rmsd.csv,4EY7,0.339,MATCH
