smiles_raw,glide_score_xp,pose_status,compound_name,dock_title,source_file,canonical_smiles,inchikey_block1
COc1cc(-c2cc(C#N)cc3ccoc23)ccc1C(=O)[O-],-10.985,Done,A425,A425,9DKB_glide-dock_XP_8000_343e.csv,COc1cc(-c2cc(C#N)cc3ccoc23)ccc1C(=O)[O-],QYETYAQRTHMTGX
COc1ccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)cc1,-10.9842,Done,A494,A494,9DKB_glide-dock_XP_8000_343e.csv,COc1ccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)cc1,JYJVULWBZYULAJ
Cc1ccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)cc1,-10.9722,Done,A747,A747,9DKB_glide-dock_XP_8000_343e.csv,Cc1ccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)cc1,UEUDKBQPPOSARU
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2nccn2c1,-10.9613,Done,A701,A701,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2nccn2c1,MNQASPCCBGXSTA
CCC(=O)N1CCc2c(nc3cc([C@@H]4CCCC[N@H+]4Cc4csc(C)c4)nn3c2[O-])C1,-10.9556,Done,D2267,D2267,9DKB_glide-dock_XP_8000_343e.csv,CCC(=O)N1CCc2c(nc3cc([C@@H]4CCCC[N@H+]4Cc4csc(C)c4)nn3c2[O-])C1,ACCMGFREOHMOQI
CC(=O)NCc1ccc(-c2ccc(C(=O)NCC3(c4ccccc4)CCCC3)c(C)n2)cc1,-10.9521,Done,D4771,D4771,9DKB_glide-dock_XP_8000_343e.csv,CC(=O)NCc1ccc(-c2ccc(C(=O)NCC3(c4ccccc4)CCCC3)c(C)n2)cc1,HRIUIIOROJUXJH
N#Cc1ccc(-c2cnccc2SCCC(F)(F)C(=O)[O-])c2ccccc12,-10.9467,Done,A202,A202,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1ccc(-c2cnccc2SCCC(F)(F)C(=O)[O-])c2ccccc12,QSYMLTHEADTDFY
Cc1nn(-c2ccccc2)c(C)c1NC(=O)COC(=O)CCNC(=O)CCC(=O)c1ccccc1,-10.9344,Done,D614,D614,9DKB_glide-dock_XP_8000_343e.csv,Cc1nn(-c2ccccc2)c(C)c1NC(=O)COC(=O)CCNC(=O)CCC(=O)c1ccccc1,JQBZKDKDUBCGPR
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)[N-]S(=O)(=O)c1ccc(C(F)(F)F)cc1,-10.929,Done,A25,A25,9DKB_glide-dock_XP_8000_343e.csv,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)[N-]S(=O)(=O)c1ccc(C(F)(F)F)cc1,OPWDYMVQCIGQRX
Cc1cccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)c1,-10.9247,Done,A814,A814,9DKB_glide-dock_XP_8000_343e.csv,Cc1cccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)c1,XIGBZAJRPVBHKS
COc1cc(C[C@@]2(CCC(=O)N[C@H](C)c3cccc4ccccc34)CCC(=O)N2)ccc1F,-10.8977,Done,D3984,D3984,9DKB_glide-dock_XP_8000_343e.csv,COc1cc(C[C@@]2(CCC(=O)N[C@H](C)c3cccc4ccccc34)CCC(=O)N2)ccc1F,FRCWBTBVCXOJNK
CCc1oc2cc(O)ccc2c1C(=O)c1cc(Br)c([O-])c(Br)c1,-10.8914,Done,A585,A585,9DKB_glide-dock_XP_8000_343e.csv,CCc1oc2cc(O)ccc2c1C(=O)c1cc(Br)c([O-])c(Br)c1,FEXBXMFVRKZOOZ
COCCNC(=O)c1ccc(/C=C2/Oc3ccccc3N(Cc3ccc(C)cc3)C2=O)cc1,-10.8864,Done,D640,D640,9DKB_glide-dock_XP_8000_343e.csv,COCCNC(=O)c1ccc(/C=C2/Oc3ccccc3N(Cc3ccc(C)cc3)C2=O)cc1,AAMLDWAVTGPJPS
COc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C(F)(F)F)c1[O-],-10.8832,Done,A414,A414,9DKB_glide-dock_XP_8000_343e.csv,COc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C(F)(F)F)c1[O-],KHNOOWVYFIYSGN
COc1ccc([C@H](C(=O)NCc2ccccc2)N(Cc2ccco2)C(=O)Cc2cccs2)cc1,-10.8759,Done,D5355,D5355,9DKB_glide-dock_XP_8000_343e.csv,COc1ccc([C@H](C(=O)NCc2ccccc2)N(Cc2ccco2)C(=O)Cc2cccs2)cc1,NGMQKLLWNBAYGK
O=C(Cc1sc(-c2ccccc2)nc1-c1cccs1)NCCCN1C(=O)NC2(CCCC2)C1=O,-10.8704,Done,D1265,D1265,9DKB_glide-dock_XP_8000_343e.csv,O=C(Cc1sc(-c2ccccc2)nc1-c1cccs1)NCCCN1C(=O)NC2(CCCC2)C1=O,FRQUJXBMLINQSM
COCCCN1C(=O)c2[nH]nc(-c3ccccc3O)c2[C@H]1c1ccc(OCc2ccccc2)cc1,-10.8668,Done,D3381,D3381,9DKB_glide-dock_XP_8000_343e.csv,COCCCN1C(=O)c2[nH]nc(-c3ccccc3O)c2[C@H]1c1ccc(OCc2ccccc2)cc1,AJUZZSNPYDNRNL
